Position,RadialVelocity
0.0,5.68879e-05
0.0196636,0.000112246
0.0361074,0.000202384
0.0498585,0.00027724
0.0613579,0.000340815
0.0709742,0.000393715
0.0790159,0.000437824
0.0857408,0.000474557
0.0913645,0.000505187
0.0960673,0.000530719
0.1,0.00055201
0.104978,0.000578898
0.110156,0.000606771
0.115543,0.000635657
0.121147,0.000665601
0.126976,0.000696618
0.133041,0.000728738
0.139351,0.000761984
0.145914,0.00079638
0.152743,0.000831949
0.159846,0.000868709
0.167236,0.000906679
0.174923,0.000945872
0.182921,0.000986299
0.19124,0.00102797
0.199896,0.00107088
0.2089,0.00111502
0.218266,0.0011604
0.228011,0.00120698
0.238148,0.00125475
0.248694,0.00130367
0.259665,0.00135369
0.271078,0.00140475
0.282951,0.00145679
0.295303,0.00150972
0.308152,0.00156344
0.32152,0.00161782
0.335426,0.00167272
0.349892,0.001728
0.364942,0.00178345
0.380599,0.00183888
0.396886,0.00189404
0.41383,0.00194866
0.431457,0.00200245
0.449795,0.00205508
0.468871,0.00210618
0.488717,0.00215534
0.509362,0.00220212
0.53084,0.00224604
0.553183,0.00228658
0.576426,0.00232317
0.600607,0.00235522
0.625762,0.00238207
0.651932,0.00240305
0.679155,0.00241744
0.707477,0.0024245
0.736939,0.00242344
0.76759,0.00241348
0.799476,0.0023938
0.832647,0.00236354
0.867155,0.00232189
0.903053,0.00226808
0.940399,0.00220132
0.97925,0.00212085
1.01967,0.00202599
1.06171,0.00191613
1.10545,0.00179076
1.15096,0.00164946
1.1983,0.00149197
1.24754,0.00131818
1.29877,0.00112815
1.35207,0.000922167
1.40751,0.000700728
1.46519,0.000464592
1.5252,0.000214796
1.58762,-4.73282e-05
1.65256,-0.000320122
1.72011,-0.000601585
1.79039,-0.00088935
1.8635,-0.00118066
1.93956,-0.00147236
2.01868,-0.00176084
2.101,-0.00204201
2.18663,-0.00231122
2.27571,-0.00256318
2.36838,-0.00279174
2.46479,-0.00298978
2.56508,-0.00314884
2.66942,-0.00325883
2.77796,-0.00330979
2.89088,-0.00329718
3.00835,-0.00322997
3.13055,-0.00313047
3.25768,-0.00301939
3.38993,-0.00290811
3.52751,-0.00280167
3.67064,-0.00270101
3.81954,-0.00260586
3.97444,-0.00251571
4.13558,-0.00242994
4.30322,-0.0023479
4.47761,-0.00226894
4.65904,-0.00219253
4.84778,-0.0021182
5.04412,-0.00204585
5.24838,-0.00197489
5.46087,-0.00190608
5.68192,-0.00183711
5.91189,-0.00177393
6.15112,-0.00170475
6.4,-0.0016619
