Position,RadialVelocity
0.0,3.36685e-05
0.0196636,6.69643e-05
0.0361074,0.000120751
0.0498585,0.000165259
0.0613579,0.000203236
0.0709742,0.000234864
0.0790159,0.000261261
0.0857408,0.000283264
0.0913645,0.000301627
0.0960673,0.000316934
0.1,0.000329697
0.104978,0.000345827
0.110156,0.000362567
0.115543,0.000379924
0.121147,0.000397926
0.126976,0.000416588
0.133041,0.000435931
0.139351,0.00045597
0.145914,0.000476725
0.152743,0.000498211
0.159846,0.000520444
0.167236,0.000543439
0.174923,0.00056721
0.182921,0.000591769
0.19124,0.000617125
0.199896,0.000643285
0.2089,0.000670254
0.218266,0.000698036
0.228011,0.000726627
0.238148,0.000756022
0.248694,0.000786208
0.259665,0.000817169
0.271078,0.000848885
0.282951,0.000881326
0.295303,0.000914451
0.308152,0.000948213
0.32152,0.000982556
0.335426,0.00101742
0.349893,0.00105271
0.364942,0.00108835
0.380599,0.00112421
0.396886,0.00116017
0.41383,0.00119611
0.431457,0.00123184
0.449795,0.00126718
0.468871,0.00130193
0.488717,0.00133584
0.509362,0.00136868
0.53084,0.00140015
0.553183,0.00142993
0.576426,0.00145767
0.600607,0.001483
0.625762,0.0015055
0.651932,0.00152474
0.679155,0.00154023
0.707477,0.00155145
0.73694,0.00155786
0.76759,0.00155888
0.799476,0.0015539
0.832647,0.00154228
0.867155,0.00152336
0.903053,0.00149645
0.940399,0.00146086
0.97925,0.00141589
1.01967,0.00136079
1.06171,0.00129485
1.10545,0.00121741
1.15096,0.00112782
1.1983,0.00102552
1.24754,0.00090992
1.29877,0.000780435
1.35207,0.000636654
1.40751,0.000478412
1.46519,0.000305677
1.5252,0.000118455
1.58762,-8.30915e-05
1.65256,-0.000298451
1.72011,-0.000526707
1.79039,-0.000766586
1.8635,-0.00101642
1.93956,-0.00127408
2.01868,-0.0015369
2.101,-0.00180189
2.18663,-0.00206598
2.27571,-0.00232631
2.36838,-0.00258055
2.46479,-0.00282681
2.56508,-0.00306305
2.66942,-0.00328604
2.77796,-0.0034887
2.89088,-0.00366087
3.00835,-0.0038076
3.13055,-0.0039516
3.25768,-0.00410546
3.38993,-0.00426175
3.52751,-0.0044092
3.67064,-0.00454341
3.81954,-0.00466374
3.97444,-0.00477049
4.13558,-0.0048629
4.30322,-0.004938
4.47762,-0.0049894
4.65904,-0.00500795
4.84778,-0.00498536
5.04412,-0.00491539
5.24838,-0.0047974
5.46087,-0.00464145
5.68192,-0.00446138
5.91189,-0.0042579
6.15112,-0.0040876
6.4,-0.00402617
