Position,RadialVelocity
0.0,8.80179e-05
0.0196636,0.000173721
0.0361074,0.00031333
0.0498585,0.000429131
0.0613579,0.000527208
0.0709742,0.000608603
0.0790159,0.000676295
0.0857408,0.000732533
0.0913645,0.000779323
0.0960673,0.000818243
0.1,0.000850632
0.104978,0.000891446
0.110156,0.000933657
0.115543,0.000977297
0.121147,0.0010224
0.126976,0.00106899
0.133041,0.00111706
0.139351,0.00116664
0.145914,0.00121773
0.152743,0.00127032
0.159846,0.00132441
0.167236,0.00137999
0.174923,0.00143702
0.182921,0.00149548
0.19124,0.00155531
0.199896,0.00161646
0.2089,0.00167884
0.218266,0.00174236
0.228011,0.00180692
0.238148,0.00187237
0.248694,0.00193858
0.259665,0.00200535
0.271078,0.00207247
0.282951,0.00213972
0.295303,0.00220682
0.308152,0.00227347
0.32152,0.00233934
0.335426,0.00240403
0.349893,0.00246714
0.364942,0.0025282
0.380599,0.0025867
0.396886,0.00264208
0.41383,0.00269374
0.431457,0.00274101
0.449795,0.0027832
0.468871,0.00281955
0.488717,0.00284926
0.509362,0.00287147
0.53084,0.0028853
0.553183,0.00288982
0.576426,0.00288406
0.600607,0.00286706
0.625762,0.00283778
0.651932,0.00279517
0.679155,0.00273827
0.707477,0.0026661
0.73694,0.00257768
0.76759,0.00247211
0.799476,0.00234861
0.832647,0.00220649
0.867155,0.00204513
0.903053,0.00186396
0.940399,0.00166264
0.97925,0.00144121
1.01967,0.00120001
1.06171,0.000939531
1.10545,0.000660417
1.15096,0.000363685
1.1983,5.08973e-05
1.24754,-0.000275854
1.29877,-0.000613981
1.35207,-0.000960305
1.40751,-0.00131088
1.46519,-0.00166077
1.5252,-0.00200391
1.58762,-0.00233288
1.65256,-0.00263898
1.72011,-0.00291299
1.79039,-0.00314708
1.8635,-0.00333744
1.93956,-0.00348584
2.01868,-0.00359876
2.101,-0.00368479
2.18663,-0.0037521
2.27571,-0.00380708
2.36838,-0.00385419
2.46479,-0.00389638
2.56508,-0.0039354
2.66942,-0.00397209
2.77796,-0.00400657
2.89088,-0.00403831
3.00835,-0.00406624
3.13055,-0.00408871
3.25768,-0.00410348
3.38993,-0.00410827
3.52751,-0.00410016
3.67064,-0.00407567
3.81954,-0.00403334
3.97444,-0.00397308
4.13558,-0.00389633
4.30322,-0.00380621
4.47762,-0.00370531
4.65904,-0.00359589
4.84778,-0.00348263
5.04412,-0.00337149
5.24838,-0.00326401
5.46087,-0.00315833
5.68192,-0.00305573
5.91189,-0.0029556
6.15112,-0.00285139
6.4,-0.00279623
