Position,RadialVelocity
0.0,1.21702e-05
0.0196636,2.36749e-05
0.0361074,4.17211e-05
0.0498585,5.58864e-05
0.0613579,6.7696e-05
0.0709742,7.74048e-05
0.0790159,8.53666e-05
0.0857408,9.18966e-05
0.0913645,9.73117e-05
0.0960673,0.000101734
0.1,0.000105392
0.104978,0.000110177
0.110156,0.000115196
0.115543,0.000120407
0.121147,0.000125897
0.126976,0.000131653
0.133041,0.000137687
0.139351,0.000144011
0.145914,0.000150639
0.152743,0.000157585
0.159846,0.000164865
0.167236,0.000172496
0.174923,0.000180496
0.182921,0.000188883
0.19124,0.000197678
0.199896,0.000206904
0.2089,0.000216584
0.218266,0.000226744
0.228011,0.000237409
0.238148,0.00024861
0.248694,0.000260376
0.259665,0.000272741
0.271078,0.000285738
0.282951,0.000299406
0.295303,0.000313781
0.308152,0.000328905
0.32152,0.000344818
0.335426,0.000361563
0.349893,0.000379182
0.364942,0.000397716
0.380599,0.000417205
0.396886,0.000437681
0.41383,0.000459174
0.431457,0.000481701
0.449795,0.000505269
0.468871,0.000529866
0.488717,0.000555463
0.509362,0.000582009
0.53084,0.00060943
0.553183,0.00063763
0.576426,0.000666501
0.600607,0.00069588
0.625762,0.000725476
0.651931,0.000754876
0.679155,0.000783912
0.707477,0.000812654
0.73694,0.000841093
0.76759,0.000869151
0.799476,0.000896648
0.832647,0.000923326
0.867155,0.000948895
0.903053,0.000973041
0.940399,0.000995395
0.97925,0.00101556
1.01967,0.0010331
1.06171,0.00104755
1.10545,0.00105846
1.15096,0.00106549
1.1983,0.00106823
1.24754,0.00106615
1.29877,0.0010588
1.35207,0.00104574
1.40751,0.00102652
1.46519,0.00100076
1.5252,0.000968303
1.58762,0.000928683
1.65256,0.00088217
1.72011,0.000828599
1.79039,0.000767029
1.8635,0.000697454
1.93956,0.000619893
2.01868,0.00053469
2.101,0.000442149
2.18663,0.00034261
2.27571,0.000236573
2.36838,0.000124707
2.46479,7.88112e-06
2.56508,-0.000112681
2.66942,-0.000235381
2.77796,-0.000358237
2.89088,-0.000478821
3.00835,-0.000594164
3.13055,-0.000700787
3.25768,-0.000794221
3.38993,-0.000869233
3.52751,-0.000920529
3.67064,-0.000943032
3.81954,-0.000919725
3.97444,-0.000859694
4.13558,-0.000713526
4.30322,-0.00053386
4.47762,-0.000405197
4.65904,-0.000304882
4.84778,-0.000248409
5.04412,-0.000213883
5.24838,-0.000189814
5.46087,-0.000168744
5.68192,-0.000148518
5.91189,-0.00012855
6.15112,-0.000106803
6.4,-9.45219e-05
