Position,AxialVelocity
0.0,0.0904083
0.0196636,0.0903923
0.0361074,0.0903544
0.0498585,0.0903055
0.0613579,0.0902527
0.0709742,0.0902002
0.0790159,0.0901505
0.0857408,0.0901048
0.0913645,0.0900638
0.0960673,0.0900275
0.1,0.0899958
0.104978,0.0899537
0.110156,0.0899079
0.115543,0.0898579
0.121147,0.0898033
0.126976,0.0897439
0.133041,0.0896792
0.139351,0.0896088
0.145914,0.0895321
0.152743,0.0894488
0.159846,0.0893582
0.167236,0.0892598
0.174923,0.0891529
0.182921,0.0890369
0.19124,0.088911
0.199896,0.0887744
0.2089,0.0886263
0.218266,0.0884659
0.228011,0.088292
0.238148,0.0881038
0.248694,0.0879001
0.259665,0.0876798
0.271078,0.0874415
0.282951,0.0871841
0.295303,0.086906
0.308152,0.0866058
0.32152,0.086282
0.335426,0.0859328
0.349893,0.0855565
0.364942,0.0851513
0.380599,0.0847153
0.396886,0.0842464
0.41383,0.0837426
0.431457,0.0832017
0.449795,0.0826215
0.468871,0.0819996
0.488717,0.0813338
0.509362,0.0806215
0.53084,0.0798605
0.553183,0.0790482
0.576426,0.0781821
0.600607,0.07726
0.625762,0.0762793
0.651932,0.0752378
0.679155,0.0741333
0.707477,0.0729637
0.73694,0.0717272
0.76759,0.070422
0.799476,0.0690467
0.832647,0.0676001
0.867155,0.0660814
0.903053,0.0644901
0.940399,0.0628262
0.97925,0.06109
1.01967,0.0592825
1.06171,0.0574052
1.10545,0.0554601
1.15096,0.05345
1.1983,0.0513781
1.24754,0.0492486
1.29877,0.0470663
1.35207,0.0448367
1.40751,0.0425662
1.46519,0.040262
1.5252,0.0379318
1.58762,0.0355845
1.65256,0.0332294
1.72011,0.0308768
1.79039,0.0285373
1.8635,0.0262228
1.93956,0.0239452
2.01868,0.0217174
2.101,0.0195528
2.18663,0.0174651
2.27571,0.0154685
2.36838,0.013577
2.46479,0.0118046
2.56508,0.0101639
2.66942,0.00866514
2.77796,0.00731376
2.89088,0.00610706
3.00835,0.00503176
3.13055,0.00406772
3.25768,0.00320578
3.38993,0.00246363
3.52751,0.0018562
3.67064,0.00136171
3.81954,0.000947373
3.97444,0.000598417
4.13558,0.000315701
4.30322,0.000104929
4.47762,-3.34162e-05
4.65904,-0.000108818
4.84778,-0.000139955
5.04412,-0.00014556
5.24838,-0.000136874
5.46087,-0.000118501
5.68192,-9.24711e-05
5.91189,-6.13318e-05
6.15112,-2.88571e-05
6.4,-1.25362e-05
