x-coordinate,y-coordinate,axial-velocity,radial-velocity,uu,vv,uv
5.0,6.123234047e-16,0.2342036196,5.472954372e-05,0.002940387428335687,0.0025344142648895005,1.2434511130943222e-05
5.0,0.005204005374,0.234184502,0.0001081578902,0.0029404177877055938,0.002532488390804796,2.481901392011325e-05
5.0,0.01033966345,0.2341281665,0.0002110824077,0.002940506624640085,0.00253387840283333,4.920357224812597e-05
5.0,0.01540787221,0.2340361339,0.000312020397,0.002940651130449241,0.002535765687402522,7.319181831741375e-05
5.0,0.02040951739,0.2339098793,0.000413077231,0.002940847286700724,0.0025353899145921515,9.681785233352008e-05
5.0,0.0253454732,0.2337508602,0.0005124144436,0.0029410899109917404,0.0025369010435444925,0.00012006867357307952
5.0,0.03021660239,0.2335605071,0.0006101950944,0.002941373826971802,0.0025382954574765027,0.00014293641063716013
5.0,0.03502375636,0.2333402226,0.0007062628338,0.002941693454809897,0.0025399898451879403,0.00016541350814644858
5.0,0.03976777532,0.2330913798,0.0008006522493,0.0029420429870435734,0.0025418267306309096,0.0001874939471522777
5.0,0.04444948847,0.2328153213,0.0008933253508,0.002942416428946863,0.002543869829352758,0.00020917256220479103
5.0,0.04906971409,0.2325133582,0.0009842689928,0.002942807682900286,0.0025460800757704603,0.00023044522568832482
5.0,0.05362925975,0.2321867697,0.001073466856,0.0029432106050843315,0.0025484498375720256,0.0002513087260025311
5.0,0.05812892238,0.2318368018,0.001160909404,0.0029436190629636345,0.0025509618116071314,0.0002717607364995801
5.0,0.06256948846,0.2314646672,0.001246589478,0.002944026982810283,0.002553603205820652,0.0002917997487339064
5.0,0.06695173415,0.2310715452,0.001330503438,0.0029444283954574157,0.002556359978167517,0.00031142502167173515
5.0,0.07127642538,0.230658581,0.001412650531,0.002944817472033203,0.002559218976624383,0.0003306365342824865
5.0,0.07554431806,0.2302268858,0.001493032821,0.0029451885588693033,0.002562167075978233,0.0003494349400524698
5.0,0.07975615815,0.2297775367,0.001571655087,0.002945536205717804,0.0025651921176479335,0.00036782152028119454
5.0,0.08391268182,0.2293115769,0.001648524219,0.002945855190555416,0.002568281244896954,0.00038579813209819157
5.0,0.08801461558,0.2288300158,0.001723649997,0.0029461405364438593,0.0025714260238608256,0.0004033671653415398
5.0,0.09206267639,0.2283338293,0.001797041908,0.0029463875309927094,0.002574607158588597,0.0004205314652054143
5.0,0.09605757177,0.22782396,0.001868718078,0.002946591734037585,0.002577826040700678,0.0004373680536444287
5.0,0.1,0.2273013173,0.001938695496,0.002946748931091883,0.002581065351148471,0.0004537579278645782
5.0,0.1037429218,0.2267874121,0.002004400048,0.002946852232962028,0.0025841866516049463,0.00046894886977906595
5.0,0.1075400176,0.2262486334,0.002070302326,0.0029469061406173147,0.0025874042770864347,0.0004842340989686387
5.0,0.1113920715,0.2256843114,0.002136367749,0.0029469030742045412,0.0025907030956860183,0.0004996946391642977
5.0,0.115299879,0.2250937719,0.002202554152,0.0029468347969290303,0.002594081093746082,0.0005151859874057034
5.0,0.119264247,0.2244763369,0.002268814932,0.002946692422870994,0.0025975329159643994,0.0005306977261436922
5.0,0.1232859942,0.2238313254,0.002335101216,0.0029464663926740357,0.0026010509788307666,0.0005462189452474967
5.0,0.1273659511,0.2231580549,0.002401361583,0.0029461464436439013,0.002604627609442029,0.0005617382062324737
5.0,0.1315049601,0.2224558419,0.002467542018,0.0029457215825421973,0.0026082542678746885,0.0005772435375689097
5.0,0.135703876,0.2217240031,0.002533585837,0.002945180058439116,0.002611921552054498,0.000592722433592548
5.0,0.1399635659,0.2209618565,0.002599433651,0.002944509340423311,0.0026156191298839777,0.0006081618475989219
5.0,0.1442849094,0.2201687226,0.002665023314,0.0029436960913133215,0.002619335732142663,0.0006235481857661659
5.0,0.1486687988,0.2193439257,0.00273028988,0.0029427261458682525,0.002623059100510912,0.0006388673046990711
5.0,0.1531161394,0.218486795,0.002795165575,0.0029415844916998554,0.0026267759458943473,0.0006541045163215453
5.0,0.1576278496,0.217596666,0.002859579762,0.002940255247909228,0.0026304719232323657,0.0006692445904360111
5.0,0.1622048611,0.216672882,0.002923458922,0.002938721655385183,0.0026341316188752883,0.0006842717605791294
5.0,0.166848119,0.2157147957,0.002986726616,0.002936966058518133,0.002637738510440061,0.0006991697218626788
5.0,0.1715585821,0.2147217701,0.003049303475,0.002934969901979229,0.0026412749486271823,0.0007139216416781145
5.0,0.1763372232,0.2136931807,0.003111107191,0.0029327137178900282,0.0026447220889855966,0.0007285101727962774
5.0,0.181185029,0.2126284168,0.003172052544,0.002930177129692984,0.002648059969441802,0.000742917467251561
5.0,0.1861030006,0.2115268833,0.003232051351,0.0029273388530603886,0.002651267247616732,0.0007571251983167272
5.0,0.1910921536,0.2103880021,0.003291012686,0.0029241767026933533,0.002654321894163446,0.000771114556387857
5.0,0.1961535182,0.2092112141,0.003348842463,0.002920667605153707,0.002657199849338295,0.0007848662895988425
5.0,0.2012881397,0.207995981,0.003405443592,0.0029167876157261356,0.002659876577772313,0.000798360720708825
5.0,0.2064970782,0.2067417868,0.003460716752,0.0029125119405505285,0.002662326210578857,0.0008115777665570704
5.0,0.2117814095,0.2054481397,0.003514559597,0.0029078149658977046,0.0026645211413385086,0.0008244969898501792
5.0,0.2171422247,0.2041145743,0.003566866829,0.0029026702991123044,0.0026664332505513706,0.0008370976115100164
5.0,0.222580631,0.202740653,0.003617530937,0.002897050803001234,0.0026680330714720568,0.0008493612320595858
5.0,0.2280977512,0.2013259679,0.003666441312,0.002890928613570276,0.0026692899583375313,0.0008612613147154362
5.0,0.2336947247,0.199870143,0.00371348549,0.0028842752580695748,0.0026701717743243965,0.0008727731511363306
5.0,0.2393727073,0.198372836,0.003758548436,0.0028770617695485193,0.002670646326239244,0.0008838859000415038
5.0,0.2451328714,0.19683374,0.003801512599,0.0028692585723797616,0.0026706795705979825,0.0008945753477503306
5.0,0.2509764065,0.1952525854,0.0038422589,0.002860835635994843,0.0026702367449129316,0.0009048137969666331
5.0,0.2569045194,0.1936291419,0.003880665833,0.002851762653587459,0.002669282586395465,0.000914582059060039
5.0,0.2629184342,0.1919632202,0.003916610319,0.0028420090451696835,0.0026677806065768615,0.0009238581957762647
5.0,0.2690193927,0.1902546739,0.003949967609,0.0028315440763554667,0.00266569386388711,0.0009326203620574786
5.0,0.2752086549,0.188503401,0.003980611531,0.002820336965800344,0.0026629847753200852,0.0009408468712091811
5.0,0.2814874987,0.1867093463,0.004008414647,0.002808356998952006,0.0026596152753128903,0.0009485162550077279
5.0,0.2878572208,0.1848725025,0.004033248501,0.0027955736453358555,0.0026555468844028604,0.000955607332011843
5.0,0.2943191364,0.182992912,0.004054983839,0.0027819566891751483,0.0026507408926912065,0.0009620992928602959
5.0,0.3008745801,0.1810706688,0.00407349083,0.00276747635882316,0.002645158448041853,0.0009679717771569214
5.0,0.3075249055,0.1791059199,0.004088639338,0.002752103469960806,0.0026387607008993602,0.0009732049433161585
5.0,0.3142714859,0.1770988667,0.004100299171,0.0027358095679305555,0.002631508968300644,0.000977779535957834
5.0,0.3211157144,0.1750497665,0.004108340358,0.0027185670739486843,0.0026233648423701302,0.0009816769676724674
