x-coordinate,axial-velocity,uu,vv,ww,uv,turb-kinetic-energy
0.0,1.3475838,0.0043569019775600015,0.002260735954370129,0.0022586995970468662,-5.278784897187798e-06,0.004438168764488499
1.0,1.3324773,0.00461964498470957,0.0023321332461652775,0.002334791675335129,-1.21299934893407e-05,0.004643284953104988
2.0,1.3151985,0.005887505597750087,0.0030062729866350466,0.0030227615811639326,-8.48382398803635e-06,0.005958270082774534
3.0,1.2983337,0.008601203444310146,0.005802606308960852,0.0057853714873056785,-4.167435916775609e-05,0.010094590620288339
4.0,1.2304156,0.021315651276640146,0.013815208762820474,0.013788352574367368,-3.851507530538398e-05,0.024459606306913996
5.0,1.0993527,0.03561264100270978,0.021726870115312286,0.021786594251072374,-5.065523786266009e-05,0.03956305268454722
6.0,0.96743456,0.03714862211760628,0.02374296541081443,0.023731102652493105,-0.00014702025374938526,0.042311345090456906
7.0,0.85914532,0.03233790912209766,0.021732009259994932,0.02182075738528636,-9.091044739828122e-05,0.03794533788368948
8.0,0.77192952,0.027014526152569607,0.018406125509572362,0.01836192152145025,-4.6268391251236e-05,0.03189128659179611
9.0,0.70234491,0.022247207397091906,0.015239447938922911,0.015253134223339295,-3.1549288250022205e-05,0.026369894779677057
10.0,0.64405256,0.01864153995744644,0.012806696786836828,0.012781989566409755,3.241427322162927e-05,0.02211511315534651
11.0,0.59422243,0.015997523684895154,0.010930958961545648,0.010910410278961186,-4.891424487892998e-05,0.018919446462700995
12.0,0.55144083,0.01391040100891111,0.009489125990349945,0.009460304659926734,-5.05410204495662e-05,0.016429915829593897
13.0,0.51410057,0.012251413925675081,0.00841086623118085,0.00838805149200613,1.5520527047593814e-06,0.01452516582443103
14.0,0.4804407,0.011007123783510014,0.007488340808283551,0.007456589941624124,3.23317176806001e-05,0.012976027266708844
15.0,0.45058943,0.009888075572275085,0.006716070809755448,0.0067552201459516415,5.7931016012859954e-06,0.011679683263991087
16.0,0.4244997,0.008961034699910025,0.00609834718300892,0.006076800151298043,1.0680641612718982e-05,0.010568091017108495
17.0,0.40114679,0.008058732872695928,0.005540760210161274,0.005485745294242176,-7.24521446747161e-05,0.009542619188549688
18.0,0.37957546,0.007210510165788442,0.005060534514244954,0.004984521392365876,-3.4436806851120205e-05,0.008627783036199637
19.0,0.3602566,0.00660658215644,0.0045747750768879054,0.004552708772149057,-1.3256515994920006e-05,0.007867033002738482
20.0,0.34244418,0.006111923584127599,0.00420379806002742,0.004175259465136527,6.636417900088521e-06,0.007245490554645772
21.0,0.32685079,0.0055673310763759,0.003841965951849606,0.003824204943114906,2.9572833139209044e-05,0.006616750985670206
22.0,0.3120856,0.005106518272639984,0.0035343720081862273,0.0035161606274582745,1.5348914507368002e-05,0.0060785254541422425
23.0,0.29852962,0.004695901982655598,0.003242049889921906,0.0032351406036288635,-6.472088811979921e-08,0.005586546238103183
24.0,0.28630267,0.004314266150871104,0.0029843859253218187,0.0029979258171010524,-1.8375413045560048e-07,0.005148288946646987
25.0,0.27532093,0.004003438503935086,0.0027807877661918338,0.002778565185059758,6.426880988409702e-06,0.004781395727593339
26.0,0.26466183,0.0037792987410511097,0.0025966477588724034,0.0025709475742259845,2.36655971357182e-05,0.004473447037074749
27.0,0.25485629,0.0035134134474359147,0.0024103937503696282,0.0024167114965537593,1.107339197718194e-05,0.00417025934717965
