x-coordinate,y-coordinate,axial-velocity,radial-velocity,uu,vv,uv,viscosity-turb
5.0,6.123234047e-16,0.2120077255,5.827921951e-05,0.003949394494151756,0.003288094427869357,1.2249004582064536e-05,0.005117936657
5.0,0.005204005374,0.2119954775,0.0001151609273,0.003949327662278361,0.0032848530345668705,2.444579362083459e-05,0.005117983763
5.0,0.01033966345,0.2119593858,0.000224726098,0.003949130281853592,0.0032866587439390796,4.846106891457605e-05,0.005118122169
5.0,0.01540787221,0.2119004239,0.0003322237053,0.003948808020531262,0.0032888328515473064,7.209573317114643e-05,0.005118348408
5.0,0.02040951739,0.2118195255,0.0004399377889,0.0039483653365663595,0.0032870333472591285,9.539043694461057e-05,0.005118658138
5.0,0.0253454732,0.211717614,0.0005458967362,0.003947805558124243,0.003288054438525706,0.0001183330918064966,0.00511904636
5.0,0.03021660239,0.2115955928,0.0006502941967,0.003947132199504529,0.003288592583819977,0.00014091988070076084,0.005119508295
5.0,0.03502375636,0.2114543459,0.0007529793337,0.0039463483929727625,0.0032893565167479246,0.0001631461736804009,0.005120038997
5.0,0.03976777532,0.211294737,0.0008540031849,0.003945457038233532,0.0032901079805624706,0.00018500893881864404,0.005120633482
5.0,0.04444948847,0.211117609,0.000953336726,0.003944460796018428,0.0032909699765989457,0.00020650549767863225,0.005121286723
5.0,0.04906971409,0.2109237839,0.00105097617,0.003943362132831144,0.003291895739249612,0.0002276339365725389,0.005121993701
5.0,0.05362925975,0.2107140624,0.001146913028,0.003942163347893797,0.003292890140772302,0.00024839293573649675,0.005122749422
5.0,0.05812892238,0.2104892238,0.00124114483,0.003940866596260953,0.003293941954687602,0.00026878177785653255,0.005123548947
5.0,0.06256948846,0.2102500256,0.001333670472,0.003939473912705484,0.003295047031862407,0.0002888002915600989,0.005124387409
5.0,0.06695173415,0.2099972039,0.001424491507,0.003937987231890748,0.003296198781360893,0.00030844882249425127,0.005125260036
5.0,0.07127642538,0.209731473,0.001513611536,0.003936408407492683,0.0032973916357556562,0.00032772819760973446,0.005126162166
5.0,0.07554431806,0.2094535259,0.001601036195,0.0039347392280346186,0.003298619621911922,0.00034663969274921605,0.005127089262
5.0,0.07975615815,0.2091640339,0.001686773094,0.003932981433260479,0.0032998777108301357,0.00036518500089411185,0.005128036923
5.0,0.08391268182,0.2088636471,0.001770831307,0.003931136723833128,0.003301159381519344,0.0003833661991118623,0.005129000896
5.0,0.08801461558,0.2085529947,0.001853222127,0.003929206776648132,0.0033024639565294727,0.0004011857248289031,0.005129977085
5.0,0.09206267639,0.2082326848,0.0019339561,0.003927193250156871,0.003303774869070202,0.00041864619989866213,0.005130961556
5.0,0.09605757177,0.2079033052,0.002013051185,0.003925097795815866,0.003305104687906799,0.0004358263601613524,0.005131950543
5.0,0.1,0.2075654224,0.002090524217,0.003922922030348486,0.0033064374346939763,0.0004526034423062304,0.005132940428
5.0,0.1037429218,0.2072329398,0.00216351139,0.003920755191858987,0.0033077130074754234,0.0004682041680587824,0.005133890176
5.0,0.1075400176,0.2068840987,0.002236972506,0.0039184542853658265,0.0033090310707563756,0.0004839543767656767,0.005134860744
5.0,0.1113920715,0.2065184241,0.002310885042,0.003916012285650942,0.003310373418077055,0.000499939655211829,0.005135849681
5.0,0.115299879,0.2061354355,0.002385219704,0.003913421746069946,0.003311743193754413,0.000516015907742396,0.005136854215
5.0,0.119264247,0.205734646,0.002459944095,0.003910674829495632,0.00331313711970231,0.0005321764361891173,0.005137871228
5.0,0.1232859942,0.2053155624,0.002535023778,0.003907763287413093,0.003314550884634349,0.0005484139421898292,0.005138897246
5.0,0.1273659511,0.2048776862,0.002610422238,0.0039046784470477295,0.003315980203037022,0.0005647206917967891,0.005139928416
5.0,0.1315049601,0.2044205131,0.002686100737,0.0039014111932273135,0.0033174204501037656,0.0005810885046025172,0.005140960479
5.0,0.135703876,0.203943534,0.002762018256,0.0038979519521381003,0.003318866485224352,0.0005975087435666514,0.005141988751
5.0,0.1399635659,0.2034462352,0.002838131424,0.003894290673458801,0.0033203126405816703,0.0006139723005334998,0.005143008095
5.0,0.1442849094,0.2029280988,0.002914394461,0.003890416818272997,0.0033217527137958942,0.0006304695886845604,0.005144012895
5.0,0.1486687988,0.2023886032,0.002990759107,0.003886319339710351,0.0033231799361071335,0.0006469905324484337,0.005144997033
5.0,0.1531161394,0.201827224,0.003067174553,0.003881986669298211,0.0033245869518435866,0.000663524556995245,0.00514595386
5.0,0.1576278496,0.2012434336,0.003143587379,0.0038774067012699205,0.0033259657731093215,0.000680060582337656,0.00514687617
5.0,0.1622048611,0.2006367029,0.003219941494,0.0038725667804660052,0.0033273077924230437,0.0006965870126806384,0.005147756172
5.0,0.166848119,0.200006501,0.003296178057,0.0038674536867329603,0.003328603641214694,0.0007130917281754531,0.00514858546
5.0,0.1715585821,0.1993522963,0.003372235459,0.003862053624517401,0.003329843516773278,0.000729562084745499,0.005149354989
