y-coordinate,Uz_zd25,Ur_zd25,Uz_zd35,Ur_zd35,Uz_zd45,Ur_zd45,Uz_zd55,Ur_zd55,Uz_zd65,Ur_zd65,uu_zd25,uu_zd35,uu_zd45,uu_zd55,uu_zd65,vv_zd25,vv_zd35,vv_zd45,vv_zd55,vv_zd65,uv_zd25,uv_zd35,uv_zd45,uv_zd55,uv_zd65,nut_zd25,nut_zd35,nut_zd45,nut_zd55,nut_zd65
0.0,0.27532093,-0.00011503829,0.19570766,5.516657e-05,0.15265793,-0.00012137154,0.12494047,0.00018475088,0.10483218,-0.00022687475,0.004003438503935086,0.002091729817324396,0.0012688944081151003,0.000821321956179101,0.0006239530364476002,0.0027807877661918338,0.0014979412566495545,0.000888751498949278,0.0005966902671123393,0.00044029723784781244,6.426880988409702e-06,-3.09692513249262e-05,-1.7693826942687796e-05,9.163426219886398e-06,-5.026633370545002e-06,0.03061607186405895,-0.14752985559402118,-0.08428901643028507,0.08932324120541334,-0.044732240192856584
0.0371000886,0.275260027,0.000194610811,0.19569357,8.69776347e-05,0.152650142,6.20660519e-05,0.124936664,4.87279243e-05,0.104828011,2.35634052e-05,0.0040061947359592565,0.002093154060655099,0.0012689899473798394,0.0008212985885511052,0.00062356930978388,0.0027803340066322423,0.001480881474891062,0.0009012177448052015,0.0005901175585893934,0.0004255746567659354,5.5063058909648106e-05,1.9729265555401118e-05,9.948169264085631e-06,6.199484794313465e-06,3.3935694704969432e-06,0.13408921447420746,0.04804458329889906,0.02422571917529203,0.027497965327634606,0.01467337222108642
0.0755173554,0.275051872,0.000404772514,0.195648693,0.000187664549,0.152626381,0.00012412482,0.124923115,8.87328719e-05,0.104814396,7.62307594e-05,0.004010392509295621,0.0020957254273917467,0.0012689432228428395,0.0008215312386967745,0.0006228808911551836,0.0027801350192119103,0.0014821247020170487,0.00090142817202906,0.0005898998734774444,0.00042419934487132133,0.0001132070802901538,3.802972176571554e-05,1.928905383112358e-05,1.1580764839356033e-05,7.123951496867678e-06,0.1376618193040543,0.04624481677715991,0.023455831881190752,0.024334298210612657,0.01567729766493842
0.115298564,0.274675777,0.000621011146,0.195555859,0.000292335457,0.152585269,0.000189538294,0.124899107,0.000145786038,0.104792199,0.000105509422,0.004016195629446259,0.0020977918107721247,0.0012685887841976384,0.0008217418706025544,0.0006218854287443985,0.0027789807251565437,0.0014826356599805805,0.0009015381962351076,0.0005902123804311242,0.00042463327576186923,0.00017200488794678957,5.866347659020745e-05,2.9116950524208914e-05,1.8094410240731932e-05,1.0538524353401022e-05,0.13501854668085267,0.046049024809727036,0.022855910610942356,0.024386572369658625,0.016290880897530623
0.15649214,0.274122612,0.000841398317,0.195402178,0.000400064254,0.152522533,0.000258521541,0.124862635,0.000198438365,0.104761758,0.000141117288,0.004025199090297457,0.0020994921328563107,0.0012679615272639146,0.0008218905808567763,0.0006206689607494362,0.0027772236488721497,0.0014828860685926714,0.000901870043612839,0.0005904049482152961,0.0004246675209110275,0.000232050450611556,8.037648642845478e-05,3.9646234131616655e-05,2.4603440761008225e-05,1.4240962024927696e-05,0.12812836643013711,0.04438046932609204,0.021890960353678435,0.023415466139824235,0.017330500264637394
0.199148226,0.273374431,0.00106923834,0.195179892,0.000514328793,0.152432553,0.000329233909,0.124810511,0.000249799398,0.104723051,0.000179777016,0.004038179575426265,0.002101427758868339,0.0012674129859021922,0.0008220533439188809,0.0006193440892514005,0.002775827529372274,0.0014828184658926913,0.0009020355060331645,0.0005905314442607589,0.00042442524222451814,0.00029403226419911545,0.00010314371272976966,5.052579971696032e-05,3.118998938812762e-05,1.8064979784804188e-05,0.1197831772502598,0.042018795650919746,0.020583254153052198,0.022020539923714562,0.018332704675311503
0.243318747,0.272415141,0.00130175023,0.194883663,0.000635087613,0.152308335,0.000402943862,0.124739054,0.000301851541,0.104675959,0.000218531511,0.004055616453950112,0.00210397019570243,0.0012673609895277778,0.0008223126071850839,0.0006179858074303185,0.002775319966338695,0.001482254543723814,0.0009019731772440765,0.000590596266647196,0.00042412510797870006,0.0003578175915477676,0.00012679761765263355,6.180907428031025e-05,3.792516692721778e-05,2.1916787214355952e-05,0.1109175360128583,0.03930516457141013,0.01915979086649385,0.02062552454330793,0.019248704086671484
0.289057471,0.271238244,0.00153973326,0.194505616,0.000760283408,0.152141187,0.00047930758,0.124644485,0.000355203878,0.104620448,0.000257360908,0.00407896359179645,0.002107528944460549,0.0012680645182310268,0.0008227434590847762,0.0006166065602792939,0.00277512468148805,0.0014813068091395199,0.0009016815612437546,0.0005906466162050538,0.0004238131383630334,0.0004234187743292046,0.00015128105839238068,7.340250684070253e-05,4.481623365668717e-05,2.580018380735322e-05,0.10251202323502756,0.03662597955772705,0.017771152209025625,0.019385153417197154,0.020150842598384466
0.336420073,0.269831453,0.0017816347,0.194032996,0.000888135137,0.151922213,0.000558207462,0.124523007,0.000410197172,0.104556536,0.000296352404,0.004107230471908793,0.0021123835632639795,0.0012696069971826311,0.0008234511276779509,0.0006151709796807028,0.0027744728977957558,0.001480280825978426,0.0009012130074293676,0.0005907553022800831,0.00042351009325264344,0.0004902493081837809,0.00017653205351501956,8.530900905984659e-05,5.1873627679663795e-05,2.9722560402487454e-05,0.0956439236367672,0.0344400654197411,0.016643140973060907,0.018343578897497017,0.021027524306974774
0.385464207,0.268174409,0.0020267049,0.193453859,0.00101860037,0.151645308,0.000640445119,0.124370957,0.000466426023,0.104483957,0.000335309312,0.004137513957500727,0.002118202838008114,0.0012720067615851344,0.0008245711549041482,0.0006136390296221511,0.002773310337248316,0.001479381603286236,0.0009006436570495491,0.0005909314387650685,0.0004232474086652861,0.0005581522212250958,0.00020217257264467216,9.765477367214836e-05,5.909580914978599e-05,3.368599506329242e-05,0.09113600033226876,0.033011065704045314,0.015945229898571594,0.017518570959390023,0.021739994786398015
0.436249572,0.266249307,0.00227321061,0.192765173,0.00115105755,0.151309123,0.000726309343,0.124185282,0.00052325124,0.104401604,0.000374661686,0.004169460422019752,0.0021256315782800655,0.0012752765969708743,0.0008261688345804763,0.0006120198822271838,0.0027714974735225835,0.0014783487365165882,0.0009000010097382708,0.0005911433121398385,0.0004230220716210436,0.0006268536604224529,0.00022831329924129383,0.00011048107328396382,6.646106320375032e-05,3.771564932425565e-05,0.08904737483004511,0.0324329284805043,0.01569433213122293,0.01692405838017744,0.022066864471589002
0.48883799,0.264035048,0.00251580631,0.191963184,0.00128631213,0.150916062,0.000815426807,0.123964012,0.000581112801,0.104306954,0.000415299113,0.004201558027637692,0.0021364666885821393,0.0012796221304121579,0.000828116228863857,0.0006104095472418865,0.0027691789786105643,0.0014771427711042149,0.0008992784441224258,0.000591401622912514,0.0004228055816467414,0.0006952374801804473,0.00025498747990737803,0.000123860043438326,7.39554147634824e-05,4.185218952406821e-05,0.08849759795461969,0.03245765673399528,0.01576629085647356,0.0165553791305163,0.021819649596463993
0.543293473,0.261514996,0.00275170887,0.191039064,0.00142440433,0.150466735,0.000906612145,0.123706114,0.000640863497,0.104195834,0.00045751872,0.004233959967119991,0.0021499449260038994,0.0012854765584397777,0.0008301192590190031,0.000608980277044445,0.0027662879982947633,0.0014757349423046772,0.0008983316574185385,0.0005917312789782129,0.0004226072716208496,0.0007627261658687854,0.0002821601510392528,0.00013770438463050347,8.156089918167932e-05,4.611919709898751e-05,0.08805063566254091,0.032573132756427335,0.01589686986341145,0.016372167555186726,0.021005357930935702
0.599682309,0.258663954,0.00298258418,0.189977481,0.00156499327,0.149954271,0.000998668115,0.123410854,0.000701390844,0.104062975,0.00050090642,0.004268108801085899,0.0021644773128946387,0.00129267840885856,0.0008320874149906829,0.0006079071341493734,0.0027629173816092136,0.0014738189660648546,0.0008972049839960823,0.0005920483888839529,0.0004224831287584028,0.0008296168328633524,0.0003097754727834471,0.00015177315084423086,8.922102995417922e-05,5.0527071738200496e-05,0.0867412896508466,0.03238883656530482,0.015868770156414476,0.016249632614199892,0.01993346417315009
0.658073138,0.255478704,0.00320840174,0.18877188,0.00170767202,0.149367011,0.00109065743,0.123074862,0.000763397271,0.103904164,0.000545747477,0.004302153702480382,0.002178664821265601,0.0013004413249258807,0.0008343737436809565,0.0006072639034611048,0.002759028818274765,0.0014712517462721092,0.0008959300813703858,0.0005922943786066298,0.0004224088176913481,0.000895840371553455,0.00033795366836120237,0.00016587416065595825,9.693533922049842e-05,5.513590164720577e-05,0.08484615089816469,0.03200801041444457,0.015710147155700117,0.01612095263733319,0.018944976922389712
0.718537039,0.251964229,0.00342480275,0.187424491,0.00185071366,0.14869724,0.00118227076,0.122695088,0.000827232352,0.103716266,0.00059281798,0.004332732104435577,0.002192021473390919,0.0013080388163823967,0.0008374338806722576,0.0006071131670172432,0.0027541640461235927,0.0014680389689486894,0.000894699723850049,0.0005924164546358046,0.0004223466628425887,0.0009600822156191702,0.0003664768302877529,0.00017998078205529758,0.00010478623377491301,5.999888269673732e-05,0.08307022400001723,0.03170906812724015,0.015572670379473406,0.015988095882070324,0.018092791312447114
0.781147611,0.248102974,0.00362972074,0.185943468,0.00199160501,0.147942482,0.00127344597,0.122267037,0.00089286702,0.103495116,0.00064168821,0.0043601643923553285,0.0022054463081329773,0.0013154032196796804,0.0008411466632406318,0.0006071189641465458,0.0027475352773496135,0.0014644077794841428,0.0008937249003614908,0.0005924196804845964,0.000422310989241147,0.0010216673896165191,0.0003949181685544253,0.0001941184685053025,0.00011276442802958026,6.510831027021765e-05,0.08174016922987978,0.03159607349482829,0.015530765322972935,0.015843674134873448,0.01723917337127483
0.84598107,0.243887035,0.00382350792,0.18431814,0.00213136235,0.147102312,0.00136402888,0.121786759,0.000960136688,0.103233833,0.000692769169,0.004380918758908774,0.0022191093669403986,0.0013227166042546548,0.0008451890322759194,0.0006070410241281118,0.0027387185871856974,0.0014605918145330025,0.000893013351214526,0.0005923838655403564,0.00042227140387848306,0.0010803931400921827,0.0004231666029819711,0.0002082586551172294,0.0001208678795714858,7.043863429990522e-05,0.08072521779311588,0.03161832014740297,0.015560747905346122,0.015746464463832002,0.016452369692734135
0.913116334,0.239285859,0.00400504814,0.182528002,0.00227221561,0.146174277,0.00145464776,0.121252806,0.00102890349,0.102928932,0.000745895983,0.004395304482632124,0.002231094685887995,0.0013299270435272736,0.0008493613371263632,0.0006070687573393758,0.0027267172993962825,0.0014567445262216722,0.000892422887894327,0.0005923785776082659,0.0004221976141825445,0.0011359527954837479,0.0004516676065934888,0.0002225975733923305,0.00012917721773430702,7.597285308671985e-05,0.07992094444670486,0.03177746631589747,0.015661045395362363,0.015765952004960965,0.01587876261430667
0.982635127,0.234307863,0.00416880694,0.180550579,0.00241491404,0.145158093,0.00154696871,0.120665929,0.00109887231,0.102578825,0.000800627618,0.004402817036373227,0.0022411877227647634,0.0013371671366033538,0.000853776078566959,0.0006076883616193754,0.0027113264486970075,0.001452785540179411,0.000891682754810281,0.0005924042046463152,0.00042209484641729566,0.001188442934629031,0.00048046724884277087,0.00023734360712573,0.00013779614386147404,8.164905868301117e-05,0.0791801827683015,0.032011200091343686,0.015813052224480092,0.015896573536670983,0.015531416544390239
1.05462207,0.228984594,0.00431242352,0.178361135,0.00255780054,0.144048399,0.00164080011,0.120025056,0.00117009577,0.102183923,0.000856783739,0.004401331410655157,0.002251532821511776,0.0013447310455368018,0.0008589681321968645,0.0006091863803300707,0.0026932619333841505,0.0014484798163975758,0.000890659089999024,0.0005924183768890281,0.0004219749036245852,0.0012366847111167493,0.0005093654195819871,0.0002524188840754761,0.00014673957368038684,8.74273673863719e-05,0.0781865348313986,0.03220345231250884,0.015958601003523545,0.016024638540396187,0.015413354227143208
1.12916479,0.223318409,0.00443456191,0.1759682,0.00269737669,0.142838327,0.00173489033,0.119322815,0.00124170085,0.101746712,0.000914059086,0.004390003001708727,0.002263496988760001,0.0013522502398410734,0.0008652094204757762,0.0006114607971890555,0.002672511930666377,0.0014434439889922446,0.0008894479845428725,0.0005924284599991093,0.0004218448329873008,0.0012799029496467988,0.0005381172391387421,0.0002676670237343221,0.00015589039219010727,9.333491042577477e-05,0.07691762385552411,0.032338935855776435,0.016085837958109066,0.01610379169005562,0.015490333777560929
1.20635403,0.217305099,0.00453201247,0.173392403,0.0028307398,0.141521401,0.00182722958,0.118554838,0.00131364284,0.10126882,0.000972068756,0.004370271248600198,0.002275296181885593,0.001358957358997201,0.0008721605867937562,0.0006142876958076006,0.0026492376529717644,0.001437604602184696,0.0008880510760619731,0.0005923227104889167,0.0004216961463336086,0.0013171773815374155,0.0005660455938102607,0.00028279000488975846,0.00016513408691394007,9.941826812101208e-05,0.07561851082329848,0.03249640136703619,0.016234836207494805,0.016164349843881286,0.01571579796792568
1.28628375,0.210939867,0.00460029326,0.17062787,0.00295536254,0.140099521,0.00191589706,0.117716209,0.00138493598,0.100752024,0.0010309919,0.004343304210022304,0.002284529679263108,0.0013648099155705584,0.0008794325386683195,0.0006176038599034258,0.0026227065719219983,0.0014309980022571647,0.0008864092064554834,0.0005919516883313014,0.00042152100570213435,0.0013474015515746035,0.0005924606047220103,0.0002974435256086918,0.00017433243872670018,0.00010569293534739439,0.07411132908300729,0.03258719926064987,0.016360330730089058,0.016207707304518693,0.016062760372102598
