x-coordinate,y-coordinate,axial-velocity,radial-velocity,uu,vv,uv,viscosity-turb
5.0,6.123234047e-16,0.1783293835,4.290455048e-05,0.002674831633211666,0.0022570119866765414,7.5447667717843e-06,0.004391630102
5.0,0.005204005374,0.1783205831,8.47895406e-05,0.0026747985780869966,0.0022549278045780555,1.5058046544896625e-05,0.004391659181
5.0,0.01033966345,0.178294649,0.0001654893637,0.002674700939235608,0.0022560339588567177,2.985282563111433e-05,0.004391744715
5.0,0.01540787221,0.1782522792,0.0002446760574,0.002674541576557248,0.0022574196289831894,4.441547782127336e-05,0.004391884576
5.0,0.02040951739,0.1781941407,0.0003240255786,0.002674322691648477,0.0022562733589340405,5.877180695207212e-05,0.004392076191
5.0,0.0253454732,0.178120892,0.0004021105746,0.00267404591751231,0.0022568849115228544,7.291563006131692e-05,0.004392316915
5.0,0.03021660239,0.1780331764,0.0004790746113,0.0026737129946590226,0.002257195586652316,8.68453635588797e-05,0.004392604156
5.0,0.03502375636,0.1779316228,0.0005548102869,0.002673325471499253,0.0022576457406374042,0.00010055894957173256,0.004392935292
5.0,0.03976777532,0.1778168446,0.0006293581694,0.0026728847798639585,0.0022580852697089695,0.00011405518404314028,0.004393307707
5.0,0.04444948847,0.17768944,0.0007027003424,0.00267239223360508,0.0022585915848359903,0.0001273330244516253,0.004393718795
5.0,0.04906971409,0.1775499917,0.0007748368931,0.0026718490487056537,0.0022591360333113794,0.00014039181915185766,0.004394165969
5.0,0.05362925975,0.1773990672,0.0008457641091,0.0026712563560393225,0.0022597221698727682,0.0001532312150687318,0.004394646672
5.0,0.05812892238,0.1772372181,0.0009154823375,0.0026706152136544963,0.0022603434529666912,0.00016585116376540419,0.004395158388
5.0,0.06256948846,0.1770649809,0.0009839926095,0.0026699266161038892,0.002260997768953447,0.00017825189128688074,0.004395698642
5.0,0.06695173415,0.1768828764,0.001051297601,0.0026691915070623027,0.0022616814722749958,0.00019043388346485338,0.004396265013
