x-coordinate,axial-velocity,turb-kinetic-energy,uu,vv,uv
0.0,1.226674654,0.03725671429,0.027055451145761165,0.023774437692633536,0.00032921201588172774
0.004239977228,1.224995856,0.03711146583,0.026832324750514648,0.023710739262222974,0.0003365667185224046
0.008526594205,1.223416417,0.03693443232,0.026574777984377566,0.023643694361735086,0.00034574797743442646
0.01286036397,1.221870113,0.03675645972,0.026362796256130507,0.023593432462678116,0.0003555457320787078
0.0172418052,1.22043079,0.03657747223,0.02606345877273404,0.023558648497267996,0.0003649015145903992
0.02167144228,1.219131775,0.03639753835,0.025741544036165874,0.02353721451533345,0.0003744541881256221
0.02614980538,1.21799349,0.03621676196,0.025398576134361615,0.023527139152161605,0.00037970985365143913
0.03067743046,1.217038127,0.03603528045,0.02503744149482728,0.023524502865046013,0.00037884242255508126
0.03525485943,1.216279583,0.03585326103,0.02467000384623172,0.023523702971215255,0.00037471302536408045
0.03988264011,1.215724888,0.03567087978,0.02430806936429321,0.02352047830177766,0.0003642277852139431
0.04456132638,1.215367502,0.03548830191,0.023951617929722616,0.02351142107361839,0.00032928996706358137
0.04929147819,1.215193599,0.03530568402,0.023617904880268454,0.023493815913546677,0.00024593663068364933
0.05407366168,1.215196527,0.0351231926,0.023328727348153635,0.023460938724600502,0.000225055136020245
0.05890844919,1.21534603,0.03494097193,0.023070692971482887,0.023407562425343982,0.0002755017721074598
0.06379641936,1.215601521,0.03475915693,0.022843878513879874,0.023336195844923725,0.0002943087817756693
0.0687381572,1.215935087,0.03457793369,0.022655046519380082,0.023248553813117717,0.00029620329882690775
0.07373425415,1.216319704,0.03439755945,0.022500934430087542,0.02314435185844917,0.00029039878612976586
0.07878530818,1.216724402,0.0342183822,0.022381539139816567,0.023024418896048976,0.00028211082323362224
0.08389192379,1.217118181,0.03404086181,0.022293426479064554,0.022890578784302174,0.0002708292243499254
0.08905471218,1.217473683,0.03386558871,0.022234678680064134,0.022744522729499467,0.0002509107860209526
0.09427429125,1.217767082,0.0336933007,0.022201562823852553,0.02258815206760197,0.00021490299223745626
0.09955128568,1.217981168,0.03352489349,0.02219192646205617,0.0224256530052896,0.00015658194501567494
0.104886327,1.218099582,0.03336141935,0.022188811252177056,0.02226631923849272,9.663030542249249e-05
0.1102800539,1.218104589,0.03320407273,0.02217889416235053,0.022114618042028876,9.368554107694563e-05
0.1157331117,1.217993897,0.03305418783,0.02218353794687359,0.021964235557108587,0.00015415586175279947
0.1212461531,1.217769134,0.03291323656,0.022210923710600926,0.02181145965045773,0.00022591708029250378
0.1268198381,1.217421164,0.03278280249,0.022252468436921736,0.021660374903076263,0.000281511486996345
0.1324548335,1.216940028,0.03266455207,0.022303738461586845,0.021516735500899466,0.0003175641784703296
0.1381518139,1.216319945,0.03256020748,0.022360186809058137,0.021384259304604886,0.0003387503634388156
0.1439114611,1.215560149,0.03247151964,0.022423464663091724,0.021264269637831366,0.0003541154099915807
0.1497344644,1.214662412,0.03240023302,0.022497186771064187,0.02115687472153682,0.0003697219699928974
0.1556215207,1.21362729,0.0323480451,0.022582369387911694,0.021062772492921312,0.00038655964294600814
0.1615733347,1.212454627,0.0323165695,0.022680250909985464,0.0209830731682455,0.00040455333903605643
0.1675906186,1.211144397,0.03230730029,0.022791575538333813,0.02091885783625869,0.00042345201747531763
0.1736740926,1.209696978,0.03232157986,0.022917282040383374,0.02087105377809154,0.00044284173981466203
0.1798244849,1.208112641,0.03236056951,0.023058081605147728,0.020840490632187965,0.0004626971897725762
0.1860425314,1.20639235,0.03242522604,0.023213592936079056,0.020828118036299685,0.00048141741666974335
0.1923289765,1.204538105,0.03251628478,0.023384285341754615,0.02083436637454451,0.0004984140760748673
0.1986845725,1.202550918,0.03263424578,0.02357164160634584,0.020859180631424692,0.0005155891503889157
0.20511008,1.200431009,0.03277936543,0.023775930370289407,0.020902794966148167,0.0005333856410461187
0.2116062681,1.198179022,0.03295165659,0.023996505164873082,0.02096544647235178,0.0005515077010767166
0.2181739143,1.19579606,0.03315089641,0.024232848076879393,0.021047130592836857,0.0005696918231780044
0.2248138046,1.193283314,0.03337663785,0.024484569817840945,0.021147616263560775,0.0005877635722979574
0.2315267336,1.19064191,0.03362822391,0.024751154992379718,0.021266487545218937,0.000605566152515215
0.2383135049,1.187872917,0.0339048044,0.025032016939910424,0.021403233482667317,0.00062304557035406
0.2451749307,1.184977212,0.03420535337,0.025326497943226892,0.021557363437549215,0.0006402494417175343
0.2521118322,1.181955573,0.03452868699,0.025633688286853182,0.02172834895791981,0.0006571660364183723
0.2591250396,1.178808845,0.03487348286,0.025952527912018717,0.021915385170360555,0.000673728010086933
0.2662153922,1.175537869,0.035238299,0.026282101340955474,0.02211721508052163,0.0006899522758489815
0.2733837388,1.172143181,0.03562159041,0.026621705302362957,0.022332170504398847,0.0007057997989209248
0.2806309371,1.168624892,0.03602172245,0.026970414246644776,0.02255911092711538,0.000721148353311836
0.2879578547,1.164983142,0.03643698343,0.027326884242017478,0.02279725988203107,0.0007358436532690628
0.2953653683,1.161218343,0.0368655988,0.027689749523289495,0.023045220873157624,0.0007499068821759429
0.3028543646,1.157331036,0.03730574177,0.028057726237751608,0.02330183135659549,0.0007635675920506788
0.3104257398,1.153321885,0.03775554395,0.028429556065064705,0.02356617268225813,0.0007767504476689531
0.3180804002,1.149191588,0.0382131078,0.02880402838569365,0.0238369984790566,0.0007892738417467984
0.3258192618,1.144940876,0.03867651598,0.029179883529695902,0.02411301400454648,0.0008011145235969497
0.3336432509,1.140570604,0.0391438402,0.02955579938886132,0.024392941467798353,0.0008122524470089079
0.3415533039,1.136081792,0.03961315062,0.02993043713593183,0.024675510709325017,0.0008226569291485697
0.3495503675,1.131475653,0.04008252528,0.03030246189286219,0.024959453812580978,0.0008322883536372283
0.3576353987,1.126753597,0.04055005967,0.030670542853453615,0.02524349102748859,0.0008410884316374582
0.3658093653,1.121917259,0.04101387617,0.031033341795636667,0.025526323740283227,0.0008490227374303365
0.3740732456,1.116968536,0.04147213303,0.03138953421878397,0.02580672502032488,0.0008561224536301482
0.3824280285,1.11190957,0.04192303319,0.031737851373975924,0.026083591163374636,0.0008624085229319619
0.3908747141,1.106742715,0.04236483376,0.03207708823552238,0.026355842508693307,0.0008678470591435082
0.3994143131,1.101470514,0.04279585484,0.03240607637281002,0.02662239577909646,0.0008724089385315969
0.4080478478,1.096095714,0.0432144875,0.03272369832484182,0.026882211898959698,0.0008760830075246121
0.4167763514,1.090621242,0.04361920108,0.03302886627556546,0.0271342915486496,0.0008788720944148188
0.4256008685,1.085050234,0.04400855044,0.033320654385830546,0.027377655617142373,0.0008807878421544983
0.4345224552,1.0793858,0.04438118199,0.03359823851034343,0.02761124675771813,0.0008818464978297678
0.4435421795,1.073631261,0.04473583695,0.03386045203802302,0.027834593531120513,0.0008819917878659768
0.4526611207,1.067790607,0.04507136044,0.03410640369918883,0.02804696308701384,0.0008811626817659847
0.4618803702,1.061867569,0.0453867057,0.03433585701082513,0.02824724867240877,0.000879485995782341
0.4712010315,1.055865429,0.04568092844,0.03454833418417387,0.02843493289612647,0.0008770708258865452
0.4806242201,1.049787719,0.04595318797,0.03474310980452493,0.028609503271449656,0.000873895986704827
0.4901510638,1.043638188,0.04620275123,0.0349196487465317,0.02877047854648126,0.0008699546874816076
0.4997827027,1.03742069,0.04642899391,0.03507755696976203,0.028917431730752934,0.0008652645719070803
0.5095202896,1.03113912,0.0466313995,0.03521654052455073,0.02904999412280952,0.0008598546947179026
0.5193649901,1.024797383,0.04680955734,0.03533639251082915,0.029167860050301718,0.0008537595673643055
0.5293179822,1.018399364,0.04696315978,0.03543698283171959,0.02927078986352393,0.0008470163108776998
0.5393804572,1.01194892,0.04709199884,0.035518260420198705,0.029358605593866216,0.0008396615778232609
0.5495536195,1.005449854,0.04719596231,0.03558024563963313,0.029431187443713955,0.000831736673717968
0.5598386865,0.9989059166,0.04727502938,0.03562300235242182,0.02948848385754067,0.0008232799464497049
0.5702368893,0.9923208291,0.0473292663,0.035646659808245745,0.02953049736437679,0.0008143204193614589
