x-coordinate,axial-velocity,turb-kinetic-energy,uu,vv,uv
-1.0,1.998645916,0.01494346034,0.011233728825856925,0.009493361566528427,0.0015362839636624184
-0.9888888889,1.992896776,0.01487063511,0.011310438733747848,0.009190802502966264,0.0016629835525752824
-0.9777777778,1.987656101,0.01494280069,0.012461735335091583,0.008631780142329848,0.002106233468968268
-0.9666666667,1.97879277,0.01512931858,0.014145602266249196,0.008157213807843205,0.002528145611854388
-0.9555555556,1.968386371,0.01541492551,0.015065819914082814,0.007922477681726261,0.002577108994675095
-0.9444444444,1.957246662,0.01579764843,0.015838874605658547,0.007910111260181683,0.002523990276409956
-0.9333333333,1.945548369,0.0162825847,0.01658907123565948,0.008026117378645035,0.002461650538775227
-0.9222222222,1.933335195,0.0168777787,0.01738789722837826,0.00821953006694644,0.0024523195381674504
-0.9111111111,1.920550699,0.01759179307,0.018299140016115798,0.008479381895037988,0.00247632593901542
-0.9,1.90711005,0.01843178234,0.01934259310719975,0.008801141322897974,0.0025155466737278613
-0.8888888889,1.892944224,0.0194022061,0.020517913792937846,0.009186950663314097,0.0025601523718561466
-0.8777777778,1.878009197,0.02050419773,0.021811261136004984,0.009645579355755,0.0026033674068138978
-0.8666666667,1.862305017,0.02173545401,0.023194446399298005,0.010188548730000364,0.0026418924405359192
-0.8555555556,1.845880209,0.02309051591,0.024635254493962432,0.01082620246675926,0.002674152377965534
-0.8444444444,1.828823713,0.02456120196,0.026104258312298366,0.011564936700774367,0.0026992645601385873
-0.8333333333,1.811251621,0.02613702894,0.027576380825278208,0.01240648692984027,0.0027168050160352596
-0.8222222222,1.79329682,0.02780560981,0.029030516051038235,0.013349547303910983,0.0027261159705212726
-0.8111111111,1.775098486,0.02955310757,0.030452962660278547,0.01438725954745151,0.0027270380283565088
-0.8,1.756787268,0.03136458672,0.031837242618940616,0.01550741722608304,0.0027204973104990224
-0.7888888889,1.738478864,0.03322426556,0.033178700682296766,0.016696750498691706,0.0027069958345552958
-0.7777777778,1.720273956,0.03511584992,0.03447328481703025,0.01794101356808353,0.0026864517143830318
-0.7666666667,1.702257319,0.03702288446,0.03571815927558928,0.019225233322563023,0.002659040162925918
-0.7555555556,1.684497959,0.03892905941,0.036910858931541425,0.020534399741786842,0.002625222995570388
-0.7444444444,1.667050598,0.04081848168,0.038048624059444786,0.021854049663621707,0.0025856041156151767
-0.7333333333,1.649957833,0.04267592405,0.03912818493699704,0.023170634373526063,0.002540827057178028
-0.7222222222,1.633252405,0.04448705677,0.04014584028004506,0.024471710236360654,0.002491526692032867
-0.7111111111,1.616959257,0.04623865806,0.04109770539138347,0.02574602599866021,0.0024383136418872917
-0.7,1.601097203,0.04791879564,0.04198001162304566,0.026983556969891947,0.0023817694096849354
-0.6888888889,1.585680196,0.04951697193,0.0427893937218604,0.028175507472494955,0.0023224461578087775
-0.6777777778,1.570718244,0.05102422715,0.04352311430046003,0.02931430368471413,0.0022608696465052608
-0.6666666667,1.556218053,0.05243319738,0.044179202139117815,0.03039358273827796,0.0021975406514855573
-0.6555555556,1.542183505,0.05373812705,0.044756517303180005,0.031408172782427156,0.0021329335172075646
-0.6444444444,1.528616021,0.05493483914,0.0452547640230445,0.03235405679844041,0.002067493378861209
-0.6333333333,1.515514853,0.05602066799,0.04567445806523735,0.0332283224916694,0.00200163403983892
-0.6222222222,1.502877338,0.05699436091,0.04601686175261498,0.03402909721982417,0.0019357351644393274
-0.6111111111,1.490699123,0.05785595627,0.046283906974241715,0.03475546263437291,0.0018701393652497502
-0.6,1.478974365,0.05860664582,0.04647811275237001,0.03540735974548836,0.0018051515788691079
-0.5888888889,1.467695909,0.05924862792,0.046602482766155265,0.03598549127853028,0.0017410394819815389
-0.5777777778,1.456855462,0.05978495802,0.046660417301671885,0.03649122122606504,0.0016780347031464828
-0.5666666667,1.446443743,0.06021940091,0.04665559320384184,0.03692647668693316,0.0016163335368876662
-0.5555555556,1.436450677,0.06055628962,0.04659192672266425,0.037293648148237046,0.0015561000553200627
-0.5444444444,1.42686546,0.06080039255,0.04647338235882729,0.03759550440325224,0.001497465398469194
-0.5333333333,1.417676896,0.06095679389,0.04630413463527275,0.03783509645834975,0.0014405385507523189
-0.5222222222,1.408873109,0.06103078282,0.046088010253740506,0.03801571647622943,0.0013853737542094038
-0.5111111111,1.400442608,0.06102776332,0.04582948430809394,0.038140778427409115,0.0013320010876360648
-0.5,1.39237257,0.06095316089,0.04553080000045107,0.03821398080406439,0.0012806699009699654
-0.4888888889,1.384653798,0.06081237252,0.04519827894533574,0.038239702161088344,0.0012328917070461155
-0.4777777778,1.377268126,0.06061070165,0.044836943205123325,0.03822106598405838,0.001184259502868349
-0.4666666667,1.370204421,0.06035331259,0.04444403128864016,0.03815717181125965,0.0011357908642223107
-0.4555555556,1.363456964,0.06004518974,0.04402596679551573,0.03805362428731467,0.0010926356165521676
-0.4444444444,1.357009377,0.05969109617,0.04358811343947302,0.037917383198047876,0.0010513210239394952
-0.4333333333,1.350851003,0.05929559038,0.04313079541118172,0.03774942492840019,0.0010108249564194699
-0.4222222222,1.344970519,0.05886299817,0.0426576289307138,0.03755239024277767,0.0009721190558760397
-0.4111111111,1.339356469,0.05839739442,0.042171131586034236,0.03732909637995338,0.0009351632031697095
-0.4,1.333997863,0.05790260312,0.041673501777917635,0.0370822272679739,0.0008998610506807562
-0.3888888889,1.328884063,0.0573821998,0.041166856188155146,0.036814299963448566,0.0008661430824789203
-0.3777777778,1.324004762,0.05683951485,0.04065313939168909,0.036527669564668325,0.0008339501056488899
-0.3666666667,1.31934999,0.056277639,0.04013412855076989,0.036224535464838725,0.0008032254205281442
-0.3555555556,1.314910109,0.05569943067,0.03961143905594889,0.03590694670989963,0.000773912152204505
-0.3444444444,1.310675826,0.05510752489,0.039086531260551685,0.035576806379835714,0.0007459529053893765
-0.3333333333,1.306638197,0.05450434338,0.03856072276498944,0.03523587566765175,0.0007192902501478486
-0.3222222222,1.302788618,0.05389210545,0.03803520130859922,0.03488577839682552,0.000693867386916464
