nodenumber,    x-coordinate,    y-coordinate,  axial-velocity, radial-velocity,turb-kinetic-energy,  viscosity-turb,daxial-velocity-dx,dradial-velocity-dx,daxial-velocity-dy,dradial-velocity-dy
      1256, 8.999999951E+00, 2.455965989E+00, 5.049680510E-03,-2.807405917E-03, 8.105755468E-05, 1.262563264E-03, 3.379067578E-03, 8.660061076E-04,-1.529521133E-02,-2.236030612E-03
      1257, 1.099999988E+01, 2.455965953E+00, 1.162380478E-02,-1.276587678E-03, 1.606681395E-04, 2.231103175E-03, 3.001618428E-03, 6.347042858E-04,-1.897316190E-02,-2.481932786E-03
      1258, 1.299999997E+01, 2.455965953E+00, 1.677456188E-02,-2.681917527E-04, 2.010317865E-04, 2.915127055E-03, 2.144695309E-03, 3.861221989E-04,-1.878452513E-02,-2.035601604E-03
      1259, 4.999999929E+00, 2.493808480E+00,-7.860031467E-05,-4.258968820E-03, 7.181190881E-06, 2.674284835E-03, 2.646699796E-04, 1.452357868E-04,-4.937737150E-04, 1.443306454E-03
      1260, 6.999999954E+00, 2.493808480E+00, 3.022714674E-04,-4.082647776E-03, 7.546424376E-06, 4.904452716E-04, 3.637009988E-04, 1.291249419E-04,-1.200433761E-03, 1.273508957E-03
      1261, 8.999999951E+00, 2.493808517E+00, 4.490171478E-03,-2.889005704E-03, 7.184948950E-05, 1.180488987E-03, 3.237261236E-03, 8.426635660E-04,-1.428969374E-02,-2.078840401E-03
      1262, 1.099999988E+01, 2.493808480E+00, 1.091897128E-02,-1.369483516E-03, 1.504931249E-04, 2.157570494E-03, 2.977491933E-03, 6.394070928E-04,-1.828756141E-02,-2.428437553E-03
      1263, 1.299999997E+01, 2.493808480E+00, 1.607252517E-02,-3.450476542E-04, 1.924733770E-04, 2.855236725E-03, 2.164668148E-03, 3.958087541E-04,-1.832513192E-02,-2.026410665E-03
      1264, 4.999999929E+00, 2.532198730E+00,-9.725857343E-05,-4.204493333E-03, 7.033115021E-06, 2.738013927E-03, 2.651940959E-04, 1.475759265E-04,-4.784691114E-04, 1.395371990E-03
      1265, 6.999999954E+00, 2.532198730E+00, 2.627786881E-04,-4.032646434E-03, 6.796889960E-06, 5.466866015E-04, 2.620991426E-04, 9.690507706E-05,-8.623604724E-04, 1.330664106E-03
