Position,RadialVelocity
0.0,0.0
0.0270091,-0.000113365
0.0544233,-0.000222278
0.0822487,-0.000326577
0.110492,-0.000426159
0.139158,-0.000520966
0.168254,-0.000610987
0.197787,-0.000696248
0.227763,-0.000776806
0.258189,-0.000852746
0.289071,-0.000924172
0.320416,-0.000991203
0.352231,-0.00105397
0.384524,-0.00111261
0.417301,-0.00116727
0.450569,-0.00121809
0.484337,-0.00126521
0.518611,-0.0013088
0.553399,-0.00134899
0.588709,-0.00138593
0.624549,-0.00141976
0.660926,-0.00145063
0.697849,-0.00147868
0.735326,-0.00150405
0.773365,-0.00152688
0.811975,-0.00154732
0.851163,-0.00156551
0.89094,-0.0015816
0.931313,-0.00159572
0.972292,-0.00160803
1.01389,-0.00161866
1.0561,-0.00162776
1.09895,-0.00163546
1.14245,-0.00164189
1.18659,-0.00164719
1.2314,-0.00165147
1.27688,-0.00165484
1.32304,-0.00165743
1.3699,-0.00165932
1.41746,-0.00166061
1.46573,-0.00166138
1.51472,-0.00166172
1.56445,-0.00166168
1.61493,-0.00166132
1.66616,-0.0016607
1.71816,-0.00165987
1.77094,-0.00165885
1.82452,-0.00165769
1.87889,-0.00165642
1.93409,-0.00165505
1.99011,-0.0016536
2.04697,-0.0016521
2.10468,-0.00165055
2.16326,-0.00164897
2.22272,-0.00164736
2.28307,-0.00164573
2.34432,-0.00164409
2.4065,-0.00164243
2.4696,-0.00164078
2.53366,-0.00163911
2.59867,-0.00163745
2.66466,-0.00163578
2.73164,-0.00163411
2.79962,-0.00163244
2.86862,-0.00163078
2.93866,-0.00162912
3.00975,-0.00162747
3.08191,-0.00162583
3.15515,-0.00162421
3.22948,-0.0016226
3.30493,-0.00162102
3.38152,-0.00161947
3.45925,-0.00161795
3.53815,-0.00161648
3.61823,-0.00161507
3.69951,-0.00161373
3.78201,-0.0016125
3.86575,-0.00161139
3.95075,-0.00161046
4.03702,-0.00160976
4.12458,-0.00160937
4.21346,-0.00160938
4.30367,-0.0016099
4.39523,-0.00161103
4.48817,-0.0016129
4.5825,-0.00161556
4.67825,-0.00161905
4.77543,-0.00162332
4.87407,-0.00162827
4.97419,-0.00163375
5.07581,-0.00163956
5.17896,-0.00164552
5.28365,-0.00165146
5.38992,-0.00165722
5.49778,-0.00166268
5.60725,-0.00166776
5.71837,-0.00167239
5.83115,-0.00167654
5.94563,-0.00168018
6.06182,-0.00168331
6.17976,-0.00168593
6.29947,-0.00168805
6.42097,-0.00168969
6.54429,-0.00169085
6.66946,-0.00169156
6.79652,-0.00169185
6.92547,-0.00169173
7.05636,-0.00169122
7.18922,-0.00169036
7.32407,-0.00168916
7.46094,-0.00168764
7.59986,-0.00168583
7.74087,-0.00168375
7.88399,-0.00168141
8.02926,-0.00167885
8.1767,-0.00167607
8.32636,-0.0016731
8.47827,-0.00166996
8.63245,-0.00166667
8.78895,-0.00166325
8.94779,-0.00165972
9.10902,-0.00165608
9.27266,-0.00165237
9.43876,-0.00164858
9.60735,-0.00164474
9.77847,-0.00164086
9.95216,-0.00163695
10.1284,-0.00163302
10.3074,-0.00162909
10.489,-0.00162516
10.6733,-0.00162123
10.8605,-0.00161733
11.0504,-0.00161344
11.2431,-0.00160958
11.4388,-0.00160576
11.6374,-0.00160197
11.839,-0.00159821
12.0435,-0.00159448
12.2512,-0.00159078
12.462,-0.0015871
12.6759,-0.00158343
12.8931,-0.00157975
13.1135,-0.00157603
13.3372,-0.00157226
13.5643,-0.00156839
13.7947,-0.00156438
14.0287,-0.00156017
14.2661,-0.00155568
14.5071,-0.00155083
14.7517,-0.00154555
15.0,-0.00153972
