Position,AxialVelocity
8.57253e-16,0.141187
0.020411,0.14112
0.0372438,0.14096
0.0511376,0.140757
0.0626148,0.140543
0.0721031,0.140333
0.079953,0.140138
0.0864518,0.139961
0.0918356,0.139805
0.0962984,0.139669
0.1,0.139551
0.104978,0.139385
0.110156,0.139205
0.115543,0.139009
0.121147,0.138796
0.126976,0.138564
0.133041,0.138312
0.139351,0.138038
0.145914,0.13774
0.152743,0.137418
0.159846,0.137068
0.167236,0.136689
0.174923,0.136278
0.182921,0.135834
0.19124,0.135353
0.199896,0.134834
0.2089,0.134273
0.210403,0.134176
0.218266,0.133668
0.228011,0.133015
0.238148,0.132312
0.248694,0.131555
0.259665,0.13074
0.271078,0.129865
0.282951,0.128925
0.295303,0.127917
0.308152,0.126837
0.32152,0.125681
0.335426,0.124445
0.349893,0.123125
0.364942,0.121718
0.380599,0.120219
0.396886,0.118625
0.41383,0.116932
0.431457,0.115137
0.449795,0.113237
0.468871,0.111228
0.488717,0.109109
0.509362,0.106877
0.53084,0.104531
0.553183,0.102069
0.576426,0.0994915
0.600607,0.0967984
0.625762,0.0939909
0.651931,0.0910708
0.679155,0.0880409
0.707477,0.0849049
0.73694,0.0816675
0.76759,0.0783345
0.799476,0.0749128
0.832647,0.0714104
0.867155,0.0678364
0.903053,0.0642012
0.940399,0.0605161
0.97925,0.0567938
1.01967,0.0530479
1.06171,0.0492931
1.10545,0.0455451
1.15096,0.0418203
1.1983,0.0381361
1.24754,0.0345105
1.29877,0.030962
1.35207,0.0275096
1.40751,0.0241727
1.46519,0.0209708
1.5252,0.0179237
1.58762,0.0150514
1.65256,0.0123742
1.72011,0.00991333
1.79039,0.00769089
1.8635,0.00573129
1.93956,0.004062
2.01868,0.00271325
2.101,0.00171127
2.18663,0.00105759
2.27571,0.000700444
2.36838,0.000539218
2.46479,0.000473838
2.56508,0.000443183
2.66942,0.000421772
2.77796,0.000401631
2.89088,0.000380941
3.00835,0.000359484
3.13055,0.000337393
3.25768,0.000314841
3.38993,0.000292001
3.52751,0.000269048
3.67064,0.000246176
3.81954,0.000223616
3.97444,0.000201638
4.13558,0.00018055
4.30322,0.000160685
4.47762,0.000142368
4.65904,0.000125879
4.84778,0.000111404
5.04412,9.90101e-05
5.24838,8.86454e-05
5.46087,8.01599e-05
5.68192,7.33422e-05
5.91189,6.79544e-05
6.15112,6.37575e-05
6.4,6.05502e-05
