x-coordinate,y-coordinate,axial-velocity,radial-velocity,uu,vv,uv
5.0,6.123234047e-16,0.2120110242,5.827928459e-05,0.003949418927854697,0.0032881211586942216,1.2249093556750713e-05
5.0,0.005204005374,0.211998776,0.0001151611101,0.003949352093644636,0.0032848797399293002,2.4445936117999436e-05
5.0,0.01033966345,0.211962684,0.0002247264644,0.003949154706667587,0.003286685464652843,4.846128303357768e-05
5.0,0.01540787221,0.2119037214,0.0003322242182,0.003948832433517846,0.003288859591628507,7.209598552784012e-05
5.0,0.02040951739,0.2118228224,0.0004399384599,0.003948389734233573,0.0032870600561320713,9.539072545742424e-05
5.0,0.0253454732,0.2117209101,0.0005458975653,0.003947829935790012,0.0032880811231972384,0.00011833341120039216
5.0,0.03021660239,0.2115988879,0.0006502951841,0.003947156553346189,0.003288619241059409,0.00014092022608663593
5.0,0.03502375636,0.2114576399,0.0007529804791,0.003946372719775639,0.003289383142683946,0.0001631465405890041
5.0,0.03976777532,0.2112980297,0.000854004488,0.003945481335064447,0.0032901345726638886,0.0001850093231837917
5.0,0.04444948847,0.2111209004,0.0009533381868,0.003944485058398451,0.003290996529675708,0.00020650589584474388
5.0,0.04906971409,0.2109270739,0.001050977788,0.0039433863579853585,0.0032919222508403442,0.00022763434466460412
5.0,0.05362925975,0.2107173509,0.001146914803,0.003942187533280585,0.0032929166084501673,0.00024839334947283405
5.0,0.05812892238,0.2104925106,0.001241146761,0.0039408907384808735,0.0032939683757938457,0.00026878219218079386
5.0,0.06256948846,0.2102533108,0.001333672558,0.0039394980092771065,0.0032950734037112245,0.0002888007013297836
5.0,0.06695173415,0.2100004873,0.001424493748,0.0039380112795618675,0.003296225100762155,0.00030844922270760054
5.0,0.07127642538,0.2097347547,0.00151361393,0.003936432404428581,0.0032974179008649963,0.0003277285831289289
5.0,0.07554431806,0.2094568057,0.00160103874,0.003934763171697246,0.0032986458302948335,0.0003466400578170613
5.0,0.07975615815,0.2091673118,0.001686775789,0.003933005321196829,0.003299903860268025,0.0003651853388665311
5.0,0.08391268182,0.2088669231,0.00177083415,0.0039311605543227495,0.003301185470029187,0.0003833665030277699
5.0,0.08801461558,0.2085562687,0.001853225117,0.003929230546640763,0.0033024899812337145,0.0004011859873376128
5.0,0.09206267639,0.2082359568,0.001933959234,0.003927216958587261,0.003303800827936188,0.0004186464133636802
5.0,0.09605757177,0.2079065752,0.002013054462,0.0039251214411218874,0.0033051305792394,0.00043582651685269134
5.0,0.1,0.2075686904,0.002090527635,0.003922945610103144,0.0033064632585041564,0.00045260352518438507
5.0,0.1037429218,0.2072362059,0.00216351494,0.003920778707844535,0.0033077387629975833,0.0004682041573775508
5.0,0.1075400176,0.2068873629,0.002236976191,0.003918477734331054,0.0033090567503726897,0.00048395426653109205
5.0,0.1113920715,0.2065216863,0.002310888865,0.003916035664854938,0.0033103990193586947,0.0004999394567798295
5.0,0.115299879,0.2061386957,0.002385223667,0.003913445052053937,0.003311768713281545,0.0005160156317181812
5.0,0.119264247,0.205737904,0.0024599482,0.003910698058498925,0.003313162552968173,0.0005321760905066576
5.0,0.1232859942,0.2053188184,0.002535028028,0.003907786436012873,0.003314576227627667,0.0005484135331330772
5.0,0.1273659511,0.2048809399,0.002610426635,0.0039047015114906302,0.003316005451490453,0.0005647202255488083
5.0,0.1315049601,0.2044237646,0.002686105284,0.003901434169385068,0.0033174455988827334,0.0005810879865203729
5.0,0.135703876,0.2039467831,0.002762022954,0.0038979748356323726,0.0033188915294128122,0.0005975081768068203
5.0,0.1399635659,0.2034494818,0.002838136277,0.0038943134598698834,0.0033203375755829897,0.0006139716880809708
5.0,0.1442849094,0.2029313429,0.002914399471,0.003890439502524555,0.00332177753407948,0.000630468932085387
5.0,0.1486687988,0.2023918447,0.002990764275,0.0038863419173544244,0.00332320463650911,0.000646989833640356
5.0,0.1531161394,0.2018304627,0.003067179882,0.0038820091348274895,0.0033246115258727905,0.0006635238183080319
5.0,0.1576278496,0.2012466695,0.003143592872,0.003877429050214835,0.003325990215647074,0.000680059803592423
5.0,0.1622048611,0.2006399358,0.003219947154,0.0038725890062226887,0.0033273320969720572,0.0006965861945463907
5.0,0.166848119,0.2000097308,0.003296183884,0.00386747578361475,0.003328627801501612,0.0007130908702593879
5.0,0.1715585821,0.1993555229,0.003372241456,0.003862075586677476,0.0033298675262853597,0.0007295611866816309
5.0,0.1763372232,0.1986767801,0.003448055267,0.0038563740319664604,0.003331040096800948,0.0007459839607448132
5.0,0.181185029,0.1979729714,0.003523557965,0.003850356137975867,0.0033321344792879783,0.00076234547882436
5.0,0.1861030006,0.1972435665,0.003598679451,0.0038440063181553706,0.003333138257889036,0.0007786314962180874
5.0,0.1910921536,0.1964880374,0.003673346151,0.003837308374158425,0.0033340379518313175,0.0007948271943827463
5.0,0.1961535182,0.1957058586,0.003747481464,0.003830245488099417,0.0033348201593314426,0.0008109172358583412
5.0,0.2012881397,0.1948965085,0.003821005936,0.003822800223715191,0.003335469720667789,0.0008268857519185711
5.0,0.2064970782,0.1940594696,0.00389383686,0.003814954518091261,0.003335971043234812,0.0008427163176968197
5.0,0.2117814095,0.1931942295,0.003965888346,0.0038066896898065953,0.003336307503331029,0.0008583919823260554
5.0,0.2171422247,0.1923002823,0.004037071274,0.003797986440779382,0.0033364615694796624,0.0008738952667207157
5.0,0.222580631,0.1913771289,0.004107293284,0.0037888248597928395,0.003336414747549243,0.0008892081717097937
5.0,0.2280977512,0.1904242781,0.004176458749,0.0037791844348644345,0.003336147587485415,0.0009043121907955462
5.0,0.2336947247,0.1894412476,0.004244468754,0.0037690440653178094,0.003335639664753929,0.0009191883207320347
5.0,0.2393727073,0.1884275651,0.004311221089,0.0037583820738053505,0.003334869565452698,0.0009338170732185122
5.0,0.2451328714,0.1873827691,0.00437661024,0.0037471762299167706,0.003333814877476227,0.0009481784937411053
5.0,0.2509764065,0.18630641,0.004440527392,0.003735403771456991,0.0033324521857504095,0.0009622521807019307
5.0,0.2569045194,0.1851980509,0.004502860439,0.003723041430508791,0.003330757071378766,0.0009760173059180835
5.0,0.2629184342,0.1840572692,0.004563493993,0.003710065462045634,0.0033287041161541267,0.000989452638872208
5.0,0.2690193927,0.1828836571,0.00462230941,0.003696451682409613,0.0033262669119935233,0.0010025365701428744
5.0,0.2752086549,0.1816768228,0.00467918481,0.003682175505060985,0.0033234180804461483,0.0010152471442066186
5.0,0.2814874987,0.180436392,0.004733995115,0.0036672119866546743,0.0033201292182589667,0.0010275620820988426
5.0,0.2878572208,0.1791620083,0.004786612162,0.003651535873872442,0.0033163707633280136,0.0010394588272776154
5.0,0.2943191364,0.1778533349,0.004836904809,0.0036351222378897922,0.003312112682475611,0.0010509177389264176
