nodenumber,    x-coordinate,    y-coordinate,  axial-velocity, radial-velocity,turb-kinetic-energy,  viscosity-turb,daxial-velocity-dx,dradial-velocity-dx,daxial-velocity-dy,dradial-velocity-dy
        31, 1.497344644E-01, 1.833718325E-17, 1.675578245E+00, 4.021702441E-04, 1.413977743E-02, 7.434991248E-04,-3.002206940E-01, 3.546737474E-04,-6.817078702E-01, 1.475800428E-01
        32, 1.556215207E-01, 1.905813972E-17, 1.673806161E+00, 4.042905102E-04, 1.419825259E-02, 7.451631946E-04,-3.017726574E-01, 3.656907272E-04,-6.877049703E-01, 1.483541266E-01
        33, 1.615733347E-01, 1.978702671E-17, 1.672005136E+00, 4.065044917E-04, 1.425822925E-02, 7.468796083E-04,-3.033943512E-01, 3.782760671E-04,-6.938200799E-01, 1.491626024E-01
        34, 1.675906186E-01, 2.052393146E-17, 1.670174306E+00, 4.088225084E-04, 1.431979116E-02, 7.486511754E-04,-3.050929769E-01, 3.921475361E-04,-7.000650245E-01, 1.500089713E-01
        35, 1.736740926E-01, 2.126894216E-17, 1.668312746E+00, 4.112537527E-04, 1.438302062E-02, 7.504813358E-04,-3.068749449E-01, 4.070965574E-04,-7.064500380E-01, 1.508963196E-01
        36, 1.798244849E-01, 2.202214798E-17, 1.666419470E+00, 4.138064629E-04, 1.444800324E-02, 7.523737757E-04,-3.087459958E-01, 4.229224390E-04,-7.129837901E-01, 1.518274371E-01
        37, 1.860425314E-01, 2.278363906E-17, 1.664493436E+00, 4.164878120E-04, 1.451483051E-02, 7.543323110E-04,-3.107113528E-01, 4.394145275E-04,-7.196735055E-01, 1.528048857E-01
        38, 1.923289765E-01, 2.355350654E-17, 1.662533543E+00, 4.193039013E-04, 1.458359991E-02, 7.563609045E-04,-3.127757630E-01, 4.563887383E-04,-7.265249630E-01, 1.538310016E-01
        39, 1.986845725E-01, 2.433184257E-17, 1.660538638E+00, 4.222599675E-04, 1.465441461E-02, 7.584636873E-04,-3.149434941E-01, 4.737064100E-04,-7.335424281E-01, 1.549078750E-01
        40, 2.051100800E-01, 2.511874029E-17, 1.658507510E+00, 4.253605524E-04, 1.472738297E-02, 7.606449787E-04,-3.172183418E-01, 4.912335808E-04,-7.407286212E-01, 1.560373626E-01
        41, 2.116062681E-01, 2.591429389E-17, 1.656438897E+00, 4.286093652E-04, 1.480261809E-02, 7.629093046E-04,-3.196036707E-01, 5.088208073E-04,-7.480847213E-01, 1.572211508E-01
        42, 2.181739143E-01, 2.671859858E-17, 1.654331485E+00, 4.320093345E-04, 1.488023737E-02, 7.652614160E-04,-3.221025045E-01, 5.263834596E-04,-7.556103210E-01, 1.584607714E-01
        43, 2.248138046E-01, 2.753175062E-17, 1.652183907E+00, 4.355632492E-04, 1.496036203E-02, 7.677063060E-04,-3.247176554E-01, 5.439376644E-04,-7.633034337E-01, 1.597576197E-01
        44, 2.315267336E-01, 2.835384733E-17, 1.649994745E+00, 4.392741712E-04, 1.504311686E-02, 7.702492279E-04,-3.274517730E-01, 5.615173476E-04,-7.711605863E-01, 1.611129771E-01
        45, 2.383135049E-01, 2.918498710E-17, 1.647762529E+00, 4.431452748E-04, 1.512862984E-02, 7.728957117E-04,-3.303072882E-01, 5.791061993E-04,-7.791768260E-01, 1.625280215E-01
        46, 2.451749307E-01, 3.002526941E-17, 1.645485735E+00, 4.471794943E-04, 1.521703203E-02, 7.756515818E-04,-3.332864331E-01, 5.966400279E-04,-7.873457087E-01, 1.640039125E-01
        47, 2.521118322E-01, 3.087479483E-17, 1.643162788E+00, 4.513793322E-04, 1.530845745E-02, 7.785229747E-04,-3.363913868E-01, 6.140455970E-04,-7.956593684E-01, 1.655418275E-01
        48, 2.591250396E-01, 3.173366503E-17, 1.640792059E+00, 4.557470623E-04, 1.540304314E-02, 7.815163570E-04,-3.396244376E-01, 6.313628974E-04,-8.041085461E-01, 1.671430035E-01
        49, 2.662153922E-01, 3.260198280E-17, 1.638371861E+00, 4.602859215E-04, 1.550092937E-02, 7.846385457E-04,-3.429878632E-01, 6.488069303E-04,-8.126825128E-01, 1.688084652E-01
        50, 2.733837388E-01, 3.347985206E-17, 1.635900451E+00, 4.650008727E-04, 1.560226001E-02, 7.878967299E-04,-3.464837311E-01, 6.665625478E-04,-8.213690575E-01, 1.705389630E-01
        51, 2.806309371E-01, 3.436737789E-17, 1.633376028E+00, 4.698976749E-04, 1.570718316E-02, 7.912984950E-04,-3.501143667E-01, 6.846589718E-04,-8.301549176E-01, 1.723356595E-01
        52, 2.879578547E-01, 3.526466650E-17, 1.630796726E+00, 4.749822732E-04, 1.581585197E-02, 7.948518512E-04,-3.538829241E-01, 7.031555215E-04,-8.390263189E-01, 1.742002707E-01
        53, 2.953653683E-01, 3.617182529E-17, 1.628160607E+00, 4.802613701E-04, 1.592842578E-02, 7.985652666E-04,-3.577932042E-01, 7.220377471E-04,-8.479692154E-01, 1.761346559E-01
        54, 3.028543646E-01, 3.708896282E-17, 1.625465659E+00, 4.857407940E-04, 1.604507166E-02, 8.024477056E-04,-3.618492924E-01, 7.410818082E-04,-8.569692977E-01, 1.781409349E-01
        55, 3.104257398E-01, 3.801618886E-17, 1.622709785E+00, 4.914251884E-04, 1.616596615E-02, 8.065086747E-04,-3.660557798E-01, 7.603114856E-04,-8.660118152E-01, 1.802217383E-01
        56, 3.180804002E-01, 3.895361439E-17, 1.619890799E+00, 4.973212655E-04, 1.629129764E-02, 8.107582769E-04,-3.704183995E-01, 7.801031803E-04,-8.750819916E-01, 1.823801160E-01
        57, 3.258192618E-01, 3.990135161E-17, 1.617006410E+00, 5.034388723E-04, 1.642126904E-02, 8.152072758E-04,-3.749442413E-01, 8.008130703E-04,-8.841658411E-01, 1.846195185E-01
        58, 3.336432509E-01, 4.085951393E-17, 1.614054212E+00, 5.097903598E-04, 1.655610112E-02, 8.198671729E-04,-3.796416058E-01, 8.226866017E-04,-8.932505304E-01, 1.869440240E-01
        59, 3.415533039E-01, 4.182821604E-17, 1.611031668E+00, 5.163902119E-04, 1.669603636E-02, 8.247502969E-04,-3.845202026E-01, 8.459596420E-04,-9.023247035E-01, 1.893585332E-01
        60, 3.495503675E-01, 4.280757387E-17, 1.607936092E+00, 5.232552917E-04, 1.684134339E-02, 8.298699098E-04,-3.895915312E-01, 8.708684809E-04,-9.113790191E-01, 1.918688328E-01
        61, 3.576353987E-01, 4.379770463E-17, 1.604764632E+00, 5.304045636E-04, 1.699232219E-02, 8.352403307E-04,-3.948693089E-01, 8.975518613E-04,-9.204069347E-01, 1.944822415E-01
        62, 3.658093653E-01, 4.479872684E-17, 1.601514237E+00, 5.378584380E-04, 1.714930990E-02, 8.408770789E-04,-4.003698461E-01, 9.261467978E-04,-9.294051173E-01, 1.972077058E-01
        63, 3.740732456E-01, 4.581076029E-17, 1.598181636E+00, 5.456398519E-04, 1.731268742E-02, 8.467970401E-04,-4.061122962E-01, 9.569873149E-04,-9.383734432E-01, 2.000553859E-01
        64, 3.824280285E-01, 4.683392610E-17, 1.594763299E+00, 5.537764524E-04, 1.748288674E-02, 8.530186559E-04,-4.121189379E-01, 9.907670764E-04,-9.473153466E-01, 2.030369578E-01
