Position,Velocity
1.10218e-15,0.111304
0.0215854,0.111269
0.0390296,0.111184
0.0531475,0.111079
0.06459,0.110971
0.0738772,0.110868
0.0814255,0.110774
0.0875691,0.110691
0.0925759,0.110619
0.0966616,0.110557
0.1,0.110505
0.104978,0.110424
0.110156,0.110335
0.115543,0.110238
0.121147,0.110133
0.126977,0.110019
0.133041,0.109894
0.139351,0.109758
0.145914,0.109611
0.152743,0.109451
0.159846,0.109277
0.167236,0.109088
0.174923,0.108884
0.182921,0.108662
0.19124,0.108421
0.199896,0.10816
0.2089,0.107878
0.218266,0.107572
0.228011,0.107242
0.238148,0.106885
0.248694,0.106499
0.259665,0.106083
0.271078,0.105634
0.282951,0.10515
0.295303,0.104628
0.308152,0.104066
0.32152,0.103462
0.335426,0.102813
0.349893,0.102116
0.364942,0.101368
0.380599,0.100567
0.396886,0.0997084
0.41383,0.0987904
0.431457,0.0978097
0.449795,0.0967631
0.468871,0.0956477
0.488717,0.0944603
0.509362,0.0931981
0.53084,0.0918583
0.553183,0.0904382
0.576426,0.0889353
0.600607,0.0873474
0.625762,0.0856726
0.651932,0.0839091
0.679155,0.0820559
0.707477,0.0801119
0.73694,0.0780771
0.76759,0.0759514
0.799476,0.0737359
0.832647,0.0714319
0.867155,0.0690416
0.903053,0.0665679
0.940399,0.0640146
0.97925,0.0613862
1.01967,0.0586881
1.06171,0.0559266
1.10545,0.053109
1.15096,0.0502433
1.1983,0.0473386
1.24754,0.0444048
1.29877,0.0414527
1.35207,0.0384939
1.40751,0.0355408
1.46519,0.0326064
1.5252,0.0297045
1.58762,0.0268492
1.65256,0.0240552
1.72011,0.0213376
1.79039,0.0187116
1.8635,0.0161926
1.93956,0.0137963
2.01868,0.0115383
2.101,0.00943481
2.18663,0.00750217
2.27571,0.00575782
2.36838,0.00422086
2.46479,0.00291286
2.56508,0.00185805
2.66942,0.00107801
2.77796,0.000575041
2.89088,0.000307889
3.00835,0.000193507
3.13055,0.000150218
3.25768,0.000130327
3.38993,0.000115098
3.52751,9.93197e-05
3.67064,8.21027e-05
3.81954,6.35323e-05
3.82169,6.3259e-05
3.97444,4.38315e-05
4.13558,2.32526e-05
4.30322,2.06597e-06
4.47761,-1.93964e-05
4.65904,-4.07114e-05
4.84778,-6.13632e-05
5.04412,-8.07781e-05
5.24838,-9.84107e-05
5.46087,-0.000113832
5.68192,-0.000126802
5.91189,-0.000137261
6.0,-0.000140224
