Position,Velocity
1.71451e-15,0.0720509
0.0226531,0.0720402
0.040653,0.0720154
0.0549748,0.0719856
0.0663856,0.0719554
0.0754899,0.0719273
0.0827642,0.0719023
0.0885848,0.0718806
0.0932489,0.0718622
0.0969918,0.0718468
0.1,0.0718339
0.104978,0.0718118
0.110156,0.0717876
0.115543,0.0717613
0.121147,0.0717326
0.126976,0.0717013
0.133041,0.0716672
0.139351,0.0716301
0.145914,0.0715897
0.152743,0.0715458
0.159846,0.071498
0.167236,0.071446
0.174923,0.0713895
0.182921,0.0713281
0.19124,0.0712614
0.199896,0.0711891
0.2089,0.0711105
0.218266,0.0710253
0.228011,0.0709328
0.238148,0.0708326
0.248694,0.070724
0.259665,0.0706063
0.271078,0.0704788
0.282951,0.0703409
0.295303,0.0701916
0.308152,0.0700301
0.32152,0.0698554
0.335426,0.0696667
0.349893,0.0694629
0.364942,0.0692428
0.380599,0.0690052
0.396886,0.0687491
0.41383,0.0684729
0.431457,0.0681754
0.449795,0.0678551
0.468871,0.0675105
0.488717,0.0671399
0.509362,0.0667418
0.53084,0.0663145
0.553183,0.065856
0.576426,0.0653646
0.600607,0.0648385
0.625762,0.0642756
0.651931,0.0636741
0.679155,0.0630319
0.707477,0.0623472
0.73694,0.0616178
0.76759,0.060842
0.799476,0.0600178
0.832647,0.0591435
0.867155,0.0582172
0.903053,0.0572374
0.940399,0.0562028
0.97925,0.0551119
1.01967,0.0539638
1.06171,0.0527577
1.10545,0.051493
1.15096,0.0501696
1.1983,0.0487876
1.24754,0.0473476
1.29877,0.0458505
1.35207,0.0442978
1.40751,0.0426914
1.43157,0.0419999
1.46519,0.0410336
1.5252,0.0393276
1.58762,0.0375768
1.65256,0.0357854
1.72011,0.0339581
1.79039,0.0321003
1.8635,0.0302178
1.93956,0.0283173
2.01868,0.0264058
2.101,0.024491
2.18663,0.0225809
2.27571,0.0206843
2.36838,0.01881
2.46479,0.0169676
2.56508,0.0151666
2.66942,0.0134169
2.77796,0.0117288
2.89088,0.0101123
3.00835,0.00857791
3.13055,0.007136
3.25768,0.00579725
3.38993,0.00457272
3.52751,0.00347405
3.67064,0.00251401
3.81954,0.00170667
3.97444,0.00106708
4.13558,0.000605921
4.30322,0.000317711
4.47762,0.000169886
4.65904,0.000108279
4.84778,8.48679e-05
5.04412,7.37427e-05
5.24838,6.48092e-05
5.46087,5.54427e-05
5.68192,4.5185e-05
5.91189,3.4108e-05
6.0,2.97792e-05
