Position,Velocity
7.34788e-16,0.000139051
0.0209448,0.000274173
0.0380555,0.000488606
0.0520512,0.000661968
0.0635126,0.000805409
0.0729095,0.000921762
0.0806223,0.0010165
0.0869596,0.00109365
0.0921721,0.00115667
0.0964635,0.00120819
0.1,0.00125038
0.104978,0.00130947
0.110156,0.00137041
0.115543,0.00143325
0.121147,0.00149805
0.126977,0.00156477
0.133041,0.00163341
0.139351,0.00170395
0.145914,0.00177636
0.152743,0.00185059
0.159846,0.00192659
0.167236,0.00200427
0.174923,0.00208354
0.182921,0.00216429
0.19124,0.00224636
0.199896,0.00232961
0.2089,0.00241382
0.218266,0.00249877
0.228011,0.0025842
0.238148,0.00266982
0.248694,0.00275527
0.259665,0.00284018
0.271078,0.00292413
0.282951,0.00300662
0.295303,0.00308714
0.308152,0.00316509
0.32152,0.00323984
0.335426,0.00331068
0.349893,0.00337687
0.364942,0.00343757
0.380599,0.00349192
0.396886,0.00353896
0.41383,0.00357771
0.431457,0.00360711
0.449795,0.00362607
0.468871,0.00363345
0.488717,0.00362806
0.509362,0.00360873
0.53084,0.0035742
0.553183,0.00352319
0.576426,0.00345458
0.578195,0.00344819
0.600607,0.00336719
0.625762,0.00325985
0.651931,0.00313152
0.679155,0.00298125
0.707477,0.00280819
0.73694,0.00261168
0.76759,0.00239122
0.799476,0.00214651
0.832647,0.00187754
0.867155,0.00158455
0.903053,0.0012681
0.940399,0.000929118
0.97925,0.000568889
1.01967,0.000189128
1.06171,-0.000208008
1.10545,-0.000619879
1.15096,-0.00104334
1.1983,-0.00147472
1.24754,-0.00190976
1.29877,-0.0023436
1.35207,-0.00277071
1.40751,-0.00318484
1.46519,-0.00357886
1.5252,-0.00394456
1.58762,-0.00427234
1.65256,-0.00455101
1.72011,-0.00476715
1.79039,-0.00490513
1.8635,-0.00495142
1.93956,-0.00490492
2.01868,-0.00478657
2.101,-0.00463007
2.18663,-0.0044615
2.27571,-0.00429431
2.36838,-0.00413377
2.46479,-0.00398101
2.56508,-0.0038361
2.66942,-0.00369882
2.77796,-0.00356884
2.89088,-0.00344578
3.00835,-0.00332916
3.13055,-0.00321839
3.25768,-0.00311281
3.38993,-0.00301166
3.52751,-0.00291421
3.67064,-0.00281988
3.81954,-0.00272825
3.97444,-0.00263909
4.13558,-0.00255227
4.30033,-0.00246916
4.30322,-0.00246769
4.47762,-0.00238526
4.65904,-0.00230489
4.84778,-0.00222648
5.04412,-0.00214997
5.24838,-0.00207525
5.46087,-0.00200233
5.68192,-0.00193104
5.91189,-0.00186158
6.0,-0.00183652
