Position,Velocity
1.34711e-15,4.66817e-05
0.0220125,9.21185e-05
0.039679,0.000163151
0.0538784,0.000219889
0.0653083,0.000266308
0.0745223,0.00030358
0.081961,0.000333617
0.0879753,0.000357825
0.0928451,0.000377395
0.0967937,0.000393217
0.1,0.000406044
0.104978,0.000425962
0.110156,0.000446602
0.115543,0.000468002
0.121147,0.000490223
0.126977,0.000513264
0.133041,0.000537156
0.139351,0.000561918
0.145914,0.000587575
0.152743,0.000614149
0.159846,0.000641663
0.167236,0.000670138
0.174923,0.000699592
0.182921,0.000730044
0.19124,0.00076151
0.199896,0.000794005
0.2089,0.000827539
0.218266,0.00086212
0.228011,0.000897754
0.238148,0.000934441
0.248694,0.000972175
0.259665,0.00101095
0.271078,0.00105074
0.282951,0.00109153
0.295303,0.00113329
0.308152,0.00117598
0.32152,0.00121953
0.335426,0.0012639
0.349893,0.00130901
0.364942,0.00135476
0.380599,0.00140106
0.396886,0.00144778
0.41383,0.00149478
0.431457,0.0015419
0.449795,0.00158897
0.468871,0.00163577
0.488717,0.00168207
0.509362,0.00172763
0.53084,0.00177214
0.553183,0.00181531
0.576426,0.00185677
0.600607,0.00189616
0.625762,0.00193307
0.651931,0.00196703
0.679155,0.00199759
0.707477,0.00202422
0.73694,0.00204637
0.76759,0.00206347
0.799476,0.00207492
0.832647,0.00208007
0.867155,0.00207829
0.903053,0.00206888
0.940399,0.00205112
0.97925,0.00202436
1.01967,0.00198792
1.06171,0.00194111
1.10545,0.00188327
1.15096,0.00181378
1.1983,0.00173206
1.24754,0.00163761
1.29877,0.00153
1.35207,0.00140889
1.40751,0.00127405
1.46519,0.00112541
1.5252,0.000963024
1.58762,0.000787129
1.65256,0.000598154
1.72011,0.000396741
1.79039,0.00018376
1.8635,-3.96655e-05
1.93956,-0.000272144
2.01868,-0.000511996
2.101,-0.000757233
2.18663,-0.00100555
2.27571,-0.00125427
2.36838,-0.00150039
2.46479,-0.00174044
2.56508,-0.0019705
2.66942,-0.00218607
2.77796,-0.00238193
2.89088,-0.00255184
3.00835,-0.00268859
3.13055,-0.002784
3.25768,-0.00282908
3.27493,-0.00282791
3.38993,-0.00281985
3.52751,-0.00276412
3.67064,-0.00268044
3.81954,-0.00258584
3.97444,-0.0024897
4.13558,-0.00239659
4.30322,-0.00230754
4.47762,-0.00222274
4.65904,-0.00214208
4.84778,-0.00206541
5.04412,-0.00199259
5.24838,-0.00192339
5.46087,-0.0018577
5.68192,-0.0017951
5.91189,-0.00173556
6.0,-0.00171446
