Position,AxialVelocity
6.12323e-16,0.000183221
0.0199839,0.0003612
0.0365944,0.000648285
0.0504067,0.000883598
0.0618965,0.00108071
0.071458,0.00124242
0.0794175,0.00137548
0.0860455,0.00148492
0.0915664,0.00157514
0.0961663,0.00164956
0.1,0.00171103
0.104978,0.00179014
0.110156,0.00187152
0.115543,0.00195516
0.121147,0.00204106
0.126977,0.00212913
0.133041,0.00221932
0.139351,0.00231153
0.145914,0.00240565
0.152743,0.00250154
0.159846,0.00259903
0.167236,0.00269793
0.174923,0.002798
0.182921,0.00289898
0.19124,0.00300055
0.199896,0.00310236
0.2089,0.003204
0.218266,0.00330502
0.228011,0.00340492
0.238148,0.00350312
0.248694,0.00359899
0.259665,0.00369184
0.271078,0.00378091
0.282951,0.00386536
0.295303,0.00394429
0.308152,0.00401673
0.32152,0.00408163
0.335426,0.00413789
0.349893,0.00418431
0.364942,0.00421965
0.380599,0.00424261
0.396886,0.00425183
0.41383,0.00424592
0.431457,0.00422348
0.449795,0.00418305
0.468871,0.0041231
0.488717,0.00404229
0.509362,0.00393927
0.53084,0.00381268
0.553183,0.00366128
0.576426,0.00348396
0.600607,0.00327977
0.625762,0.00304791
0.651932,0.00278784
0.679155,0.00249926
0.707477,0.00218216
0.73694,0.00183688
0.76759,0.00146413
0.799476,0.00106503
0.832647,0.000641164
0.867155,0.000194607
0.903053,-0.000272044
0.940399,-0.000755623
0.97925,-0.00125237
1.01967,-0.00175789
1.06171,-0.00226711
1.10545,-0.00277428
1.15096,-0.00327283
1.1983,-0.00375536
1.24754,-0.00421346
1.29877,-0.00463747
1.35207,-0.00501622
1.40751,-0.00533659
1.46519,-0.00558283
1.5252,-0.00573729
1.58762,-0.00578481
1.65256,-0.00572451
1.72011,-0.00558215
1.79039,-0.00539717
1.8635,-0.00519922
1.93956,-0.00500392
2.01868,-0.0048172
2.101,-0.00464028
2.18663,-0.00447312
2.27571,-0.00431531
2.36838,-0.00416622
2.46479,-0.00402509
2.56508,-0.003891
2.66942,-0.00376289
2.77796,-0.00363971
2.89088,-0.00352057
3.00619,-0.00340695
3.00835,-0.00340483
3.13055,-0.00329211
3.25768,-0.00318221
3.38993,-0.00307497
3.52751,-0.00297025
3.67064,-0.0028679
3.81954,-0.00276777
3.97444,-0.00266974
4.13558,-0.00257367
4.30322,-0.00247946
4.47762,-0.00238703
4.65904,-0.00229632
4.84778,-0.00220733
5.04412,-0.00212001
5.24838,-0.00203451
5.46087,-0.00195074
5.68192,-0.00186922
5.91189,-0.00178935
6.15112,-0.00171368
6.4,-0.00164187
