nodenumber,    x-coordinate,    y-coordinate,  axial-velocity, radial-velocity,turb-kinetic-energy,  viscosity-turb,daxial-velocity-dx,dradial-velocity-dx,daxial-velocity-dy,dradial-velocity-dy
       753, 1.299999997E+01, 4.538601367E-01, 8.825106897E-02, 1.373718118E-03, 7.153749154E-04, 3.302117036E-03,-5.068821107E-03,-1.668852887E-04,-4.070440488E-02, 2.041984519E-03
       754, 4.999999929E+00, 4.627247331E-01, 1.316341363E-01, 3.496324269E-03, 3.348535365E-03, 3.041592267E-03, 1.376694024E-03, 1.013911577E-04,-3.029356147E-01,-8.934203660E-03
       755, 6.999999954E+00, 4.627247331E-01, 1.248451460E-01, 3.043805142E-03, 2.132347069E-03, 3.224782376E-03,-6.065461568E-03,-3.632434706E-04,-1.685262627E-01,-5.131872744E-04
       756, 8.999999951E+00, 4.627247400E-01, 1.115865583E-01, 2.340574631E-03, 1.404607953E-03, 3.278739637E-03,-6.726986665E-03,-3.189480674E-04,-9.935103743E-02, 1.668432182E-03
       757, 1.099999988E+01, 4.627247331E-01, 9.882751186E-02, 1.789531120E-03, 9.782017739E-04, 3.295988189E-03,-5.950081008E-03,-2.339186405E-04,-6.232477594E-02, 2.082537194E-03
       758, 1.299999997E+01, 4.627247331E-01, 8.788777580E-02, 1.391588291E-03, 7.154412206E-04, 3.301339588E-03,-4.998035491E-03,-1.677727378E-04,-4.125268664E-02, 1.990561876E-03
       759, 4.999999929E+00, 4.717176332E-01, 1.289172542E-01, 3.413742955E-03, 3.298522431E-03, 3.022137471E-03, 2.186263646E-03, 1.696225747E-04,-3.013158733E-01,-9.424652500E-03
       760, 6.999999954E+00, 4.717176332E-01, 1.233270427E-01, 3.037889017E-03, 2.120273519E-03, 3.216972790E-03,-5.642260448E-03,-3.446598242E-04,-1.690882827E-01,-7.984475895E-04
       761, 8.999999951E+00, 4.717176402E-01, 1.106893893E-01, 2.354868533E-03, 1.401669849E-03, 3.275324124E-03,-6.505164993E-03,-3.144660022E-04,-1.001655552E-01, 1.512734690E-03
       762, 1.099999988E+01, 4.717176332E-01, 9.826384483E-02, 1.807856811E-03, 9.776131803E-04, 3.294358866E-03,-5.826988864E-03,-2.335455105E-04,-6.302342340E-02, 1.994321236E-03
       763, 1.299999997E+01, 4.717176332E-01, 8.751431280E-02, 1.409249390E-03, 7.154702050E-04, 3.300499375E-03,-4.925563287E-03,-1.685575191E-04,-4.179679818E-02, 1.937980744E-03
       764, 4.999999929E+00, 4.808406941E-01, 1.261766900E-01, 3.325544073E-03, 3.246706840E-03, 3.001745652E-03, 2.986192470E-03, 2.396506096E-04,-2.995093521E-01,-9.903842828E-03
       765, 6.999999954E+00, 4.808406941E-01, 1.217822150E-01, 3.029282824E-03, 2.107444230E-03, 3.208685221E-03,-5.216481310E-03,-3.250268945E-04,-1.695691710E-01,-1.084164235E-03
       766, 8.999999951E+00, 4.808407013E-01, 1.097719571E-01, 2.367940160E-03, 1.398452100E-03, 3.271669271E-03,-6.280056639E-03,-3.094988459E-04,-1.009469981E-01, 1.355152117E-03
       767, 1.099999988E+01, 4.808406941E-01, 9.768570581E-02, 1.825635523E-03, 9.769194440E-04, 3.292605666E-03,-5.701432072E-03,-2.329474036E-04,-6.370906655E-02, 1.904501064E-03
       768, 1.299999997E+01, 4.808406941E-01, 8.713050176E-02, 1.426681039E-03, 7.154587772E-04, 3.299591918E-03,-4.851394059E-03,-1.692346031E-04,-4.233630154E-02, 1.884238964E-03
       769, 4.999999929E+00, 4.900957997E-01, 1.234140499E-01, 3.231690425E-03, 3.193111969E-03, 2.980392473E-03, 3.775403605E-03, 3.113932149E-04,-2.975173445E-01,-1.037094052E-02
       770, 6.999999954E+00, 4.900957997E-01, 1.202109644E-01, 3.017907147E-03, 2.093839777E-03, 3.199898701E-03,-4.788468156E-03,-3.043320913E-04,-1.699675485E-01,-1.369955576E-03
       771, 8.999999951E+00, 4.900958070E-01, 1.088341747E-01, 2.379734122E-03, 1.394941781E-03, 3.267761653E-03,-6.051753527E-03,-3.040341728E-04,-1.016941748E-01, 1.195776209E-03
       772, 1.099999988E+01, 4.900957997E-01, 9.709291787E-02, 1.842832836E-03, 9.761139880E-04, 3.290720585E-03,-5.573424093E-03,-2.321158958E-04,-6.438094823E-02, 1.813099272E-03
       773, 1.299999997E+01, 4.900957997E-01, 8.673616612E-02, 1.443862151E-03, 7.154037057E-04, 3.298612475E-03,-4.775518874E-03,-1.697988602E-04,-4.287074878E-02, 1.829335713E-03
