nodenumber,    x-coordinate,    y-coordinate,  axial-velocity, radial-velocity,turb-kinetic-energy,  viscosity-turb,daxial-velocity-dx,dradial-velocity-dx,daxial-velocity-dy,dradial-velocity-dy
      1275, 6.999999954E+00, 2.610654221E+00, 1.721086555E-04,-3.863656910E-03, 5.736867532E-06, 6.111648069E-04, 1.115509190E-04, 4.786535609E-05,-3.705628073E-04, 1.368608479E-03
      1276, 8.999999951E+00, 2.610654260E+00, 2.638682118E-03,-3.136063017E-03, 4.352930566E-05, 8.663730433E-04, 2.581682605E-03, 7.022324874E-04,-1.055435446E-02,-1.380437483E-03
      1277, 1.099999988E+01, 2.610654221E+00, 8.363351715E-03,-1.726687237E-03, 1.135621002E-04, 1.829336179E-03, 2.837612077E-03, 6.363581494E-04,-1.589902655E-02,-2.176300381E-03
      1278, 1.299999997E+01, 2.610654221E+00, 1.346536280E-02,-6.678807984E-04, 1.593530087E-04, 2.555724115E-03, 2.224052415E-03, 4.257901751E-04,-1.683928281E-02,-1.968323360E-03
      1279, 4.999999929E+00, 2.650735663E+00,-1.575295960E-04,-3.974118581E-03, 6.509909449E-06, 2.822893074E-03, 2.550187708E-04, 1.496537850E-04,-4.158825334E-04, 1.244419378E-03
      1280, 6.999999954E+00, 2.650735663E+00, 1.583675983E-04,-3.809363946E-03, 5.448450098E-06, 6.948212644E-04, 9.607641872E-05, 4.293265509E-05,-3.152752189E-04, 1.341205004E-03
      1281, 8.999999951E+00, 2.650735703E+00, 2.236577837E-03,-3.187367007E-03, 3.723320694E-05, 7.921457912E-04, 2.384807788E-03, 6.589772517E-04,-9.524764196E-03,-1.182358842E-03
      1282, 1.099999988E+01, 2.650735663E+00, 7.740422718E-03,-1.812412775E-03, 1.048361989E-04, 1.752981657E-03, 2.785990323E-03, 6.344793882E-04,-1.519427426E-02,-2.102333683E-03
      1283, 1.299999997E+01, 2.650735663E+00, 1.280052885E-02,-7.462922204E-04, 1.512361376E-04, 2.491082049E-03, 2.226067176E-03, 4.327812375E-04,-1.634201580E-02,-1.944622434E-03
      1284, 4.999999929E+00, 2.691397234E+00,-1.739945952E-04,-3.924278035E-03, 6.363843132E-06, 2.823117596E-03, 2.506801966E-04, 1.493392533E-04,-3.942802533E-04, 1.207594206E-03
      1285, 6.999999954E+00, 2.691397234E+00, 1.461727593E-04,-3.755538362E-03, 5.227032921E-06, 7.874395999E-04, 8.858454187E-05, 4.069501712E-05,-2.845042981E-04, 1.306973674E-03
      1286, 8.999999951E+00, 2.691397274E+00, 1.870557622E-03,-3.231168993E-03, 3.152641325E-05, 7.205644058E-04, 2.175575406E-03, 6.107654992E-04,-8.493158403E-03,-9.750037039E-04
      1287, 1.099999988E+01, 2.691397234E+00, 7.137113396E-03,-1.896287228E-03, 9.642683111E-05, 1.675898105E-03, 2.728776304E-03, 6.310902421E-04,-1.449052051E-02,-2.024281047E-03
      1288, 1.299999997E+01, 2.691397234E+00, 1.214635111E-02,-8.248170847E-04, 1.432477270E-04, 2.425203491E-03, 2.224492080E-03, 4.391718641E-04,-1.584187956E-02,-1.918121485E-03
      1289, 4.999999929E+00, 2.732647329E+00,-1.897886851E-04,-3.875190237E-03, 6.215833135E-06, 2.810164060E-03, 2.453858799E-04, 1.484529096E-04,-3.718139017E-04, 1.172914673E-03
      1290, 6.999999954E+00, 2.732647329E+00, 1.347776670E-04,-3.702418153E-03, 5.051261324E-06, 8.875061583E-04, 8.583446254E-05, 4.011507643E-05,-2.678894694E-04, 1.269210845E-03
      1291, 8.999999951E+00, 2.732647370E+00, 1.541795056E-03,-3.266864872E-03, 2.641209133E-05, 6.524330172E-04, 1.954181114E-03, 5.574669890E-04,-7.461296117E-03,-7.586518565E-04
      1292, 1.099999988E+01, 2.732647329E+00, 6.554076050E-03,-1.978069621E-03, 8.834374014E-05, 1.598177214E-03, 2.665883730E-03, 6.261032573E-04,-1.378800291E-02,-1.942087664E-03
