nodenumber,    x-coordinate,    y-coordinate,  axial-velocity, radial-velocity,turb-kinetic-energy,  viscosity-turb,daxial-velocity-dx,dradial-velocity-dx,daxial-velocity-dy,dradial-velocity-dy
      1386, 8.999999951E+00, 3.640323601E+00,-4.571427737E-05,-2.834312590E-03, 3.623202989E-08, 1.677188826E-05,-4.612207635E-06,-6.633681213E-06, 6.895561555E-06, 7.832567439E-04
      1387, 1.099999988E+01, 3.640323547E+00,-4.852369335E-05,-2.842029441E-03, 8.888675233E-08, 3.429355405E-05, 1.299768604E-06,-1.364490406E-06, 4.970150856E-06, 7.794687849E-04
      1388, 1.299999997E+01, 3.640323547E+00,-4.728975003E-05,-2.843498769E-03, 1.753617853E-07, 1.066583367E-04, 1.681841897E-05, 6.148061560E-06,-3.983654201E-05, 7.605889274E-04
      1389, 4.999999929E+00, 3.695308141E+00,-5.919252716E-06,-2.742529524E-03, 2.251001138E-09, 4.684168888E-07,-8.497971655E-06,-1.804576838E-05,-1.223791793E-05, 7.507485080E-04
      1390, 6.999999954E+00, 3.695308141E+00,-2.807977830E-05,-2.770593651E-03, 7.543339763E-09, 2.321344259E-06,-1.169874122E-05,-1.335789951E-05, 3.753956614E-06, 7.615087426E-04
      1391, 8.999999951E+00, 3.695308196E+00,-4.533228771E-05,-2.791888896E-03, 3.522387312E-08, 1.659484538E-05,-4.612390658E-06,-6.707986131E-06, 6.997332897E-06, 7.601865876E-04
      1392, 1.099999988E+01, 3.695308141E+00,-4.824902794E-05,-2.799811305E-03, 8.675258681E-08, 3.395609322E-05, 1.224746918E-06,-1.452141698E-06, 5.019395262E-06, 7.564963671E-04
      1393, 1.299999997E+01, 3.695308141E+00,-4.829993103E-05,-2.801793256E-03, 1.572818793E-07, 8.968475845E-05, 2.248235314E-06,-4.503717215E-07, 5.065583732E-06, 7.588706043E-04
      1394, 4.999999929E+00, 3.751088567E+00,-6.586258207E-06,-2.701292576E-03, 2.198880091E-09, 4.713023440E-07,-7.904690292E-06,-1.748640899E-05,-1.168543160E-05, 7.281222756E-04
      1395, 6.999999954E+00, 3.751088567E+00,-2.786649556E-05,-2.728755460E-03, 7.314733020E-09, 2.242684676E-06,-1.141368888E-05,-1.319345307E-05, 3.891708349E-06, 7.389188151E-04
      1396, 8.999999951E+00, 3.751088623E+00,-4.493901706E-05,-2.750118400E-03, 3.422450351E-08, 1.641197731E-05,-4.611953569E-06,-6.777344424E-06, 7.101922363E-06, 7.378106312E-04
      1397, 1.099999988E+01, 3.751088567E+00,-4.796762935E-05,-2.758243781E-03, 8.462976972E-08, 3.360583428E-05, 1.145976730E-06,-1.542666992E-06, 5.069103565E-06, 7.342219326E-04
      1398, 1.299999997E+01, 3.751088567E+00,-4.702805893E-05,-2.759691281E-03, 1.462309592E-07, 6.692575271E-05,-6.834331671E-06,-3.342644716E-06, 3.451245258E-05, 7.466866061E-04
      1399, 4.999999929E+00, 3.807676344E+00,-7.231645417E-06,-2.660719417E-03, 2.147044798E-09, 4.741097313E-07,-7.326266415E-06,-1.692508910E-05,-1.113243971E-05, 7.061831783E-04
      1400, 6.999999954E+00, 3.807676344E+00,-2.764224638E-05,-2.687570624E-03, 7.088850405E-09, 2.165921136E-06,-1.112952368E-05,-1.302467383E-05, 4.031588624E-06, 7.170046460E-04
      1401, 8.999999951E+00, 3.807676401E+00,-4.453405646E-05,-2.708990217E-03, 3.323403532E-08, 1.622337491E-05,-4.610555543E-06,-6.841074384E-06, 7.209147522E-06, 7.161079315E-04
      1402, 1.099999988E+01, 3.807676344E+00,-4.767932455E-05,-2.717315680E-03, 8.251901331E-08, 3.324330713E-05, 1.063784694E-06,-1.634710837E-06, 5.119684155E-06, 7.126234227E-04
      1403, 1.299999997E+01, 3.807676344E+00,-4.501912206E-05,-2.718243798E-03, 1.391472522E-07, 5.612315521E-05,-6.547741888E-06,-1.560893460E-06, 3.454547674E-05, 7.191280410E-04
