z_CL,Uz,uz_fluct2,ur_fluct2,uphi_fluct2,k
0.0,1.3475838,0.0043569019775600015,0.002260735954370129,0.0022586995970468662,0.004438168764488499
1.0,1.3324773,0.00461964498470957,0.0023321332461652775,0.002334791675335129,0.004643284953104988
2.0,1.3151985,0.005887505597750087,0.0030062729866350466,0.0030227615811639326,0.005958270082774534
3.0,1.2983337,0.008601203444310146,0.005802606308960852,0.0057853714873056785,0.010094590620288339
4.0,1.2304156,0.021315651276640146,0.013815208762820474,0.013788352574367368,0.024459606306913996
5.0,1.0993527,0.03561264100270978,0.021726870115312286,0.021786594251072374,0.03956305268454722
6.0,0.96743456,0.03714862211760628,0.02374296541081443,0.023731102652493105,0.042311345090456906
7.0,0.85914532,0.03233790912209766,0.021732009259994932,0.02182075738528636,0.03794533788368948
8.0,0.77192952,0.027014526152569607,0.018406125509572362,0.01836192152145025,0.03189128659179611
9.0,0.70234491,0.022247207397091906,0.015239447938922911,0.015253134223339295,0.026369894779677057
10.0,0.64405256,0.01864153995744644,0.012806696786836828,0.012781989566409755,0.02211511315534651
11.0,0.59422243,0.015997523684895154,0.010930958961545648,0.010910410278961186,0.018919446462700995
12.0,0.55144083,0.01391040100891111,0.009489125990349945,0.009460304659926734,0.016429915829593897
13.0,0.51410057,0.012251413925675081,0.00841086623118085,0.00838805149200613,0.01452516582443103
14.0,0.4804407,0.011007123783510014,0.007488340808283551,0.007456589941624124,0.012976027266708844
15.0,0.45058943,0.009888075572275085,0.006716070809755448,0.0067552201459516415,0.011679683263991087
16.0,0.4244997,0.008961034699910025,0.00609834718300892,0.006076800151298043,0.010568091017108495
17.0,0.40114679,0.008058732872695928,0.005540760210161274,0.005485745294242176,0.009542619188549688
18.0,0.37957546,0.007210510165788442,0.005060534514244954,0.004984521392365876,0.008627783036199637
19.0,0.3602566,0.00660658215644,0.0045747750768879054,0.004552708772149057,0.007867033002738482
20.0,0.34244418,0.006111923584127599,0.00420379806002742,0.004175259465136527,0.007245490554645772
21.0,0.32685079,0.0055673310763759,0.003841965951849606,0.003824204943114906,0.006616750985670206
22.0,0.3120856,0.005106518272639984,0.0035343720081862273,0.0035161606274582745,0.0060785254541422425
23.0,0.29852962,0.004695901982655598,0.003242049889921906,0.0032351406036288635,0.005586546238103183
24.0,0.28630267,0.004314266150871104,0.0029843859253218187,0.0029979258171010524,0.005148288946646987
25.0,0.27532093,0.004003438503935086,0.0027807877661918338,0.002778565185059758,0.004781395727593339
26.0,0.26466183,0.0037792987410511097,0.0025966477588724034,0.0025709475742259845,0.004473447037074749
27.0,0.25485629,0.0035134134474359147,0.0024103937503696282,0.0024167114965537593,0.00417025934717965
28.0,0.2455882,0.0032713740207599915,0.0022614040091011776,0.002272315230196168,0.003902546630028669
29.0,0.23710342,0.0030554732243035926,0.0021517452003354644,0.002116066855926749,0.0036616426402829028
30.0,0.22893691,0.002878045239651905,0.0020437727974558406,0.0019663015100844796,0.0034440597735961127
31.0,0.22098439,0.0026925213763279027,0.0018818138361279585,0.001871108706086418,0.0032227219592711395
32.0,0.2138257,0.0025213440195099995,0.001765723043235675,0.0017628260421116457,0.00302494655242866
33.0,0.20750412,0.0023551011830256,0.0016844501002087388,0.0016451236446502968,0.0028423374639423176
34.0,0.20134661,0.002219573641507891,0.001600003293338558,0.0015392868043715233,0.0026794318696089863
35.0,0.19570766,0.002091729817324396,0.0014979412566495545,0.001465081779090678,0.0025273764265323143
36.0,0.19070309,0.0019698684644519,0.001415992914271468,0.0013880861854494156,0.002386973782086392
37.0,0.18557406,0.0018729392551163973,0.0013424021218581977,0.0013197564174593434,0.002267548897216969
38.0,0.18058979,0.0018061747477558995,0.0012628742354436704,0.0012566458063941266,0.0021628473947968483
39.0,0.17564858,0.001744019343983605,0.0011787583055772113,0.001197856521183734,0.002060317085372275
40.0,0.17122892,0.0016451399556336004,0.0011173965403858455,0.001133899469458363,0.0019482179827389045
41.0,0.16760555,0.0015569026091975038,0.0010653101196756013,0.0010830761471503476,0.0018526444380117264
42.0,0.16393855,0.0014572448238975057,0.0010240966345247593,0.001036976577150058,0.0017591590177861616
43.0,0.16003318,0.0013742362990875993,0.000976802203342675,0.000996282250526725,0.0016736603764784996
44.0,0.15627194,0.001317106768636403,0.0009320511575031259,0.0009586979575642159,0.0016039279418518723
45.0,0.15265793,0.0012688944081151003,0.000888751498949278,0.0009135826326292863,0.0015356142698468322
46.0,0.14942686,0.0012115975105404,0.000863679434891475,0.0008656835192603173,0.001470480232346096
47.0,0.14627002,0.0011603882491996002,0.0008226267577629094,0.0008278348172358622,0.001405424912099186
48.0,0.14312015,0.0011101996639774972,0.0007862694500642295,0.0007986146083648506,0.0013475418612032886
49.0,0.14017566,0.0010579273435643993,0.0007553781977747739,0.000763742036677645,0.0012885237890084091
50.0,0.13734318,0.0010152869074875961,0.0007218312376213944,0.0007317224429131367,0.0012344202940110637
51.0,0.13483779,0.0009712173879158972,0.0006965706983666609,0.0006985803911346539,0.0011831842387086062
52.0,0.13247155,0.000928069440597503,0.0006730955905677279,0.000667458275320117,0.001134311653242674
53.0,0.12998701,0.0008840362312599048,0.0006474186467394721,0.0006358734110449932,0.001083664144522185
54.0,0.12749626,0.0008478116860124001,0.0006229125656164727,0.000606790461246454,0.0010387573564376634
55.0,0.12494047,0.000821321956179101,0.0005966902671123393,0.000583004980420286,0.001000508601855863
56.0,0.12249312,0.0007973555526656021,0.0005715259649163724,0.0005707173550786886,0.0009697994363303315
57.0,0.12027714,0.0007624875934203988,0.0005557040635654023,0.0005510375145039084,0.0009346145857448548
58.0,0.11792493,0.0007342208844951011,0.0005431556558270725,0.0005275259395817167,0.0009024512399519451
59.0,0.11563991,0.0007277012151918998,0.0005241906925183428,0.0005054952342660777,0.0008786935709881602
60.0,0.11368123,0.0007063499456871018,0.0005138001483164515,0.00048231802843495646,0.0008512340612192549
61.0,0.11176065,0.0006795621115774989,0.0004964782262109104,0.00046479055772265205,0.0008204154477555307
62.0,0.10983942,0.0006706808140636011,0.00047746355284291106,0.00044520404297249887,0.0007966742049395055
63.0,0.10820343,0.0006448227362350987,0.00046578833858434553,0.0004357372654128635,0.0007731741701161538
64.0,0.10661086,0.0006332345300604,0.000454970206438105,0.00042492214792691973,0.0007565634422127123
65.0,0.10483218,0.0006239530364476002,0.00044029723784781244,0.0004096579735368688,0.0007369541239161408
66.0,0.1029671,0.000611206317589999,0.0004243619106593015,0.0003934907826059373,0.0007145295054276189
67.0,0.10129561,0.0005940683947279011,0.00040955927901399196,0.0003839664301613218,0.0006937970519516074
68.0,0.099840311,0.0005771952994232804,0.0003991318311331844,0.0003673969440487654,0.0006718620373026152
69.0,0.098545961,0.0005571915705864777,0.00038356092656892203,0.0003604634792887296,0.0006506079882220646
70.0,0.097384656,0.0005298187757616628,0.00037529978955456203,0.00035631722266723197,0.0006307178939917285
71.0,0.096193939,0.0005078460996642779,0.0003691768470801013,0.0003524689001068026,0.0006147459234255909
72.0,0.094910481,0.0005010918963486381,0.00036129447854623596,0.0003493486817368609,0.0006058675283158675
73.0,0.093595869,0.0005008508061348383,0.0003535357469013134,0.0003430135862505849,0.0005987000696433683
74.0,0.092444324,0.0004967885601830247,0.0003495605340574063,0.00033849430535110687,0.000592421699795769
75.0,0.091674872,0.0005085084437836153,0.00033458235334864493,0.0003364124096452291,0.0005897516033887447
