r_profile,Uz_zd25,Ur_zd25,Uz_zd35,Ur_zd35,Uz_zd45,Ur_zd45,Uz_zd55,Ur_zd55,Uz_zd65,Ur_zd65
22.2676019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0012991753,-0.0002541797,-0.00073592891
23.0952768,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0012441608,-0.0001923658,-0.00064860765
23.952337,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0011935204,-0.00013095044,-0.00057094768
24.8398257,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.3028535e-05,-0.00050311708
25.7588232,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.293275e-05,-0.00044557981
26.7104482,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.44235869e-05,-0.00039892123
27.6958592,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.34113804e-05,-0.00036381202
28.7162555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29.7728793,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30.8670168,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
