(title "Axial Velocity")
(labels "Position" "Axial Velocity")

((xy/key/label "l_11-m")
6.4	-7.5424e-05
6.15112	-5.9877e-05
5.91189	-4.2415e-05
5.68192	-2.36878e-05
5.46087	-4.16579e-06
5.24838	1.56795e-05
5.04412	3.53783e-05
4.84778	5.45607e-05
4.65904	7.29257e-05
4.47762	9.02132e-05
4.30322	0.000106185
4.13558	0.000120692
3.97444	0.000134257
3.81954	0.000150408
3.67064	0.000182768
3.52751	0.000266977
3.38993	0.000467643
3.25768	0.000854648
3.13055	0.0014661
3.00835	0.00230383
2.89088	0.0033515
2.77796	0.00458929
2.66942	0.00599938
2.56508	0.00756591
2.46479	0.00927442
2.36838	0.0111113
2.27571	0.0130632
2.18663	0.0151172
2.101	0.0172603
2.01868	0.0194798
1.93956	0.0217631
1.8635	0.0240977
1.79039	0.0264716
1.72011	0.0288729
1.65256	0.0312904
1.58762	0.0337134
1.5252	0.0361314
1.46519	0.0385351
1.40751	0.0409154
1.35207	0.0432643
1.29877	0.0455741
1.24754	0.0478383
1.1983	0.0500509
1.15096	0.0522066
1.10545	0.054301
1.06171	0.0563304
1.01967	0.0582917
0.97925	0.0601825
0.940399	0.062001
0.903053	0.0637459
0.867155	0.0654166
0.832647	0.067013
0.799476	0.0685351
0.76759	0.0699838
0.73694	0.0713601
0.707477	0.0726651
0.679155	0.0739006
0.651932	0.0750684
0.625762	0.0761705
0.600607	0.077209
0.576426	0.0781863
0.553183	0.0791047
0.53084	0.0799667
0.509362	0.0807748
0.488717	0.0815315
0.468871	0.0822393
0.449795	0.0829006
0.431457	0.0835179
0.41383	0.0840937
0.396886	0.0846301
0.380599	0.0851295
0.364942	0.0855941
0.349893	0.086026
0.335426	0.0864271
0.32152	0.0867994
0.308152	0.0871448
0.295303	0.087465
0.282951	0.0877616
0.271078	0.0880363
0.259665	0.0882905
0.248694	0.0885256
0.238148	0.088743
0.228011	0.0889439
0.218266	0.0891294
0.2089	0.0893006
0.199896	0.0894587
0.19124	0.0896044
0.182921	0.0897388
0.174923	0.0898627
0.167236	0.0899768
0.159846	0.0900818
0.152743	0.0901785
0.145914	0.0902675
0.139351	0.0903493
0.133041	0.0904245
0.126976	0.0904936
0.121147	0.090557
0.115543	0.0906153
0.110156	0.0906687
0.104978	0.0907177
0.1	0.0907627
0.0962852	0.0907948
0.0918086	0.090832
0.0864112	0.0908744
0.0798994	0.0909223
0.0720386	0.0909751
0.062543	0.0910317
0.0510645	0.0910895
0.0371789	0.0911438
0.0203683	0.0911868
1.34711e-15	0.0912047
)

((xy/key/label "l_13-m")
6.4	-3.99711e-06
6.15112	1.23433e-05
5.91189	2.87808e-05
5.68192	4.47836e-05
5.46087	6.0089e-05
5.24838	7.44561e-05
5.04412	8.76992e-05
4.99389	9.07674e-05
4.84778	9.96889e-05
4.65904	0.000110962
4.47762	0.000124831
4.30322	0.000153851
4.13558	0.000229983
3.97444	0.000409522
3.81954	0.000751076
3.67064	0.00128438
3.52751	0.00200931
3.38993	0.00291163
3.25768	0.00397449
3.13055	0.00518284
3.00835	0.00652323
2.89088	0.00798339
2.77796	0.00955166
2.66942	0.0112167
2.56508	0.0129675
2.46479	0.0147929
2.36838	0.0166821
2.27571	0.0186244
2.18663	0.0206091
2.101	0.0226259
2.01868	0.024665
1.93956	0.0267166
1.8635	0.0287718
1.79039	0.0308218
1.72011	0.0328586
1.65256	0.0348747
1.58762	0.0368632
1.5252	0.0388178
1.46519	0.0407329
1.40751	0.0426037
1.35207	0.0444256
1.29877	0.0461952
1.24754	0.0479091
1.1983	0.049565
1.15096	0.0511608
1.10545	0.0526952
1.06171	0.0541672
1.01967	0.0555761
0.97925	0.0569221
0.940399	0.0582052
0.903053	0.0594262
0.867155	0.0605859
0.832647	0.0616855
0.799476	0.0627264
0.76759	0.0637101
0.73694	0.0646384
0.707477	0.0655132
0.679155	0.0663364
0.651932	0.06711
0.625762	0.0678361
0.600607	0.0685169
0.576426	0.0691544
0.553183	0.0697507
0.53084	0.070308
0.509362	0.0708283
0.488717	0.0713137
0.468871	0.071766
0.449795	0.0721872
0.431457	0.0725791
0.41383	0.0729436
0.396886	0.0732822
0.380599	0.0735966
0.364942	0.0738884
0.349892	0.074159
0.335426	0.0744098
0.32152	0.0746421
0.308152	0.0748572
0.295303	0.0750563
0.282951	0.0752405
0.271078	0.0754108
0.259665	0.0755681
0.248694	0.0757135
0.238148	0.0758477
0.228011	0.0759716
0.218266	0.0760859
0.2089	0.0761914
0.199896	0.0762886
0.19124	0.0763782
0.182921	0.0764607
0.174923	0.0765367
0.167236	0.0766067
0.159846	0.0766711
0.152743	0.0767303
0.145914	0.0767848
0.139351	0.0768349
0.133041	0.0768809
0.126977	0.0769232
0.121147	0.076962
0.115543	0.0769976
0.110156	0.0770302
0.104978	0.0770602
0.1	0.0770876
0.0963248	0.077107
0.0918894	0.0771295
0.086533	0.0771553
0.0800601	0.0771843
0.0722322	0.0772165
0.0627585	0.077251
0.0512837	0.0772864
0.0373737	0.0773197
0.0204964	0.0773462
1.59204e-15	0.0773572
)

((xy/key/label "l_15-m")
6.4	4.31111e-05
6.15112	5.45307e-05
5.91189	6.53219e-05
5.68192	7.50263e-05
5.46087	8.38776e-05
5.24838	9.30143e-05
5.04412	0.000108926
4.84778	0.000150445
4.65904	0.000258108
4.47762	0.000484751
4.30322	0.000869059
4.13558	0.0014219
3.97444	0.00213443
3.81954	0.00299249
3.67064	0.00398257
3.52751	0.00509259
3.38993	0.00631159
3.25768	0.00762929
3.13055	0.00903576
3.00835	0.0105213
2.89088	0.0120762
2.77796	0.0136909
2.66942	0.0153561
2.56508	0.0170625
2.46479	0.0188008
2.36838	0.0205624
2.27571	0.0223386
2.18663	0.0241214
2.101	0.0259031
2.01868	0.0276763
1.93956	0.0294344
1.8635	0.0311711
1.79039	0.0328807
1.72011	0.0345582
1.65256	0.0361989
1.58762	0.0377988
1.5252	0.0393546
1.46519	0.0408632
1.40751	0.0423223
1.35207	0.04373
1.29877	0.0450849
1.24754	0.0463859
1.1983	0.0476324
1.15096	0.0488243
1.10545	0.0499615
1.06171	0.0510446
1.01967	0.0520742
0.97925	0.0530512
0.940399	0.0539767
0.903053	0.0548521
0.867155	0.0556788
0.832647	0.0564584
0.799476	0.0571925
0.76759	0.0578828
0.73694	0.0585313
0.707477	0.0591396
0.679155	0.0597096
0.651931	0.0602432
0.625762	0.0607422
0.600607	0.0612083
0.576426	0.0616433
0.553183	0.062049
0.53084	0.062427
0.509362	0.0627789
0.488717	0.0631064
0.468871	0.0634108
0.449795	0.0636936
0.431457	0.0639562
0.41383	0.0641999
0.396886	0.0644259
0.380599	0.0646354
0.364942	0.0648295
0.349892	0.0650092
0.335426	0.0651756
0.32152	0.0653295
0.308152	0.0654718
0.295303	0.0656034
0.282951	0.065725
0.271078	0.0658373
0.259665	0.065941
0.248694	0.0660367
0.238148	0.066125
0.228011	0.0662065
0.218266	0.0662816
0.2089	0.0663509
0.199896	0.0664147
0.19124	0.0664734
0.182921	0.0665276
0.174923	0.0665774
0.167236	0.0666232
0.159846	0.0666654
0.152743	0.0667042
0.145914	0.0667398
0.139351	0.0667726
0.133041	0.0668027
0.126977	0.0668303
0.121147	0.0668557
0.115543	0.066879
0.110156	0.0669003
0.104978	0.0669199
0.1	0.0669378
0.0963645	0.0669504
0.0919702	0.0669649
0.0866549	0.0669817
0.0802207	0.0670005
0.0724257	0.0670215
0.0629739	0.0670441
0.051503	0.0670673
0.0375685	0.0670892
0.0206245	0.0671066
2e-15	0.0671138
)

((xy/key/label "l_5-m")
6.4	-0.000163798
6.15112	-0.000173933
5.91189	-0.000185484
5.68192	-0.000197559
5.46087	-0.000209755
5.24838	-0.000221646
5.04412	-0.000232931
4.84778	-0.000243273
4.65904	-0.000252372
4.47762	-0.00025992
4.30322	-0.000265616
4.13558	-0.000269177
3.97444	-0.000270321
3.81954	-0.000268756
3.67064	-0.000264198
3.52751	-0.00025636
3.38993	-0.000244937
3.25768	-0.000229595
3.13055	-0.00020997
3.00835	-0.000185671
3.00619	-0.000185134
2.89088	-0.000156373
2.77796	-0.00012202
2.66942	-8.30189e-05
2.56508	-4.03078e-05
2.46479	4.77551e-06
2.36838	5.07169e-05
2.27571	9.60246e-05
2.18663	0.000139338
2.101	0.000179467
2.01868	0.000215452
1.93956	0.000247141
1.8635	0.000278045
1.79039	0.000325525
1.72011	0.000442138
1.65256	0.000739947
1.58762	0.00136926
1.5252	0.00244427
1.46519	0.00399835
1.40751	0.00600799
1.35207	0.00843362
1.29877	0.0112372
1.24754	0.014385
1.1983	0.0178467
1.15096	0.0215942
1.10545	0.0256002
1.06171	0.0298378
1.01967	0.0342805
0.97925	0.0389019
0.940399	0.0436755
0.903053	0.0485753
0.867155	0.0535756
0.832647	0.0586513
0.799476	0.0637781
0.76759	0.0689325
0.73694	0.074092
0.707477	0.0792355
0.679155	0.0843429
0.651932	0.0893959
0.625762	0.0943773
0.600607	0.0992716
0.576426	0.104065
0.553183	0.108745
0.53084	0.113301
0.509362	0.117723
0.488717	0.122004
0.468871	0.126138
0.449795	0.130119
0.431457	0.133944
0.41383	0.13761
0.396886	0.141117
0.380599	0.144463
0.364942	0.14765
0.349893	0.150679
0.335426	0.153553
0.32152	0.156274
0.308152	0.158846
0.295303	0.161273
0.282951	0.163559
0.271078	0.165709
0.259665	0.167729
0.248694	0.169623
0.238148	0.171397
0.228011	0.173056
0.218266	0.174606
0.2089	0.176052
0.199896	0.1774
0.19124	0.178654
0.182921	0.179821
0.174923	0.180904
0.167236	0.18191
0.159846	0.182842
0.152743	0.183706
0.145914	0.184505
0.139351	0.185244
0.133041	0.185927
0.126977	0.186557
0.121147	0.187138
0.115543	0.187674
0.110156	0.188168
0.104978	0.188622
0.1	0.18904
0.0961663	0.189348
0.0915664	0.189704
0.0860455	0.19011
0.0794175	0.190565
0.071458	0.191065
0.0618965	0.191599
0.0504067	0.192143
0.0365944	0.192651
0.0199839	0.19305
6.12323e-16	0.193217
)

((xy/key/label "l_7-m")
8.57253e-16	0.141164
0.0201121	0.141098
0.0367892	0.140941
0.0506259	0.140742
0.062112	0.140529
0.0716516	0.140319
0.0795782	0.140123
0.0861674	0.139945
0.0916471	0.139786
0.0962059	0.139647
0.1	0.139526
0.104978	0.13936
0.110156	0.13918
0.115543	0.138984
0.121147	0.13877
0.126976	0.138538
0.133041	0.138286
0.139351	0.138012
0.145914	0.137714
0.152743	0.137391
0.159846	0.137041
0.167236	0.136661
0.174923	0.13625
0.182921	0.135806
0.19124	0.135325
0.199896	0.134805
0.2089	0.134244
0.218266	0.133638
0.228011	0.132984
0.238148	0.13228
0.248694	0.131522
0.259665	0.130707
0.271078	0.129831
0.282951	0.12889
0.295303	0.127882
0.308152	0.1268
0.308662	0.126756
0.32152	0.125644
0.335426	0.124407
0.349893	0.123086
0.364942	0.121678
0.380599	0.120178
0.396886	0.118583
0.41383	0.116888
0.431457	0.115092
0.449795	0.11319
0.468871	0.11118
0.488717	0.10906
0.509362	0.106826
0.53084	0.104478
0.553183	0.102015
0.576426	0.0994357
0.600607	0.096741
0.625762	0.0939318
0.651931	0.09101
0.679155	0.0879785
0.707477	0.0848408
0.73694	0.0816018
0.76759	0.0782672
0.799476	0.074844
0.832647	0.0713401
0.867155	0.0677647
0.903053	0.0641281
0.940399	0.0604418
0.97925	0.0567183
1.01967	0.0529714
1.06171	0.0492156
1.10545	0.0454667
1.15096	0.0417412
1.1983	0.0380563
1.24754	0.03443
1.29877	0.0308808
1.35207	0.0274275
1.40751	0.0240895
1.46519	0.0208861
1.5252	0.017837
1.58762	0.0149617
1.65256	0.0122803
1.72011	0.00981311
1.79039	0.00758167
1.8635	0.00560921
1.93956	0.00392188
2.01868	0.0025491
2.101	0.00151873
2.18663	0.000838982
2.27571	0.000466552
2.36838	0.000302212
2.46479	0.000239555
2.56508	0.000211391
2.66942	0.000190069
2.77796	0.000167493
2.89088	0.000142307
3.00835	0.000114697
3.13055	8.51386e-05
3.25768	5.41874e-05
3.38993	2.24929e-05
3.52751	-9.17572e-06
3.67064	-3.99415e-05
3.81954	-6.8894e-05
3.97444	-9.52221e-05
4.13558	-0.000118358
4.30322	-0.000138058
4.47762	-0.000154367
4.65904	-0.000167502
4.84778	-0.000177739
5.04412	-0.000185346
5.24838	-0.000190557
5.46087	-0.000193593
5.68192	-0.000194651
5.91189	-0.000193967
6.15112	-0.000191793
6.4	-0.000188235
)

((xy/key/label "l_9-m")
6.4	-0.00014648
6.15112	-0.000139713
5.91189	-0.000130644
5.68192	-0.000119215
5.46087	-0.00010526
5.24838	-8.8703e-05
5.04412	-6.96284e-05
4.84778	-4.83469e-05
4.65904	-2.53792e-05
4.47762	-1.3631e-06
4.30322	2.30487e-05
4.13558	4.7274e-05
3.97444	7.08295e-05
3.81954	9.33188e-05
3.67064	0.000114399
3.52751	0.000133764
3.38993	0.000151283
3.25768	0.000167894
3.13055	0.000189282
3.00835	0.000235498
2.89088	0.000356359
2.77796	0.000634269
2.66942	0.00114984
2.56508	0.00194087
2.46479	0.00300345
2.36838	0.00431613
2.27571	0.00585532
2.18663	0.00759997
2.101	0.00953137
2.01868	0.0116324
1.93956	0.0138866
1.8635	0.0162782
1.79039	0.0187914
1.72011	0.0214109
1.65256	0.0241211
1.58762	0.0269068
1.5252	0.0297532
1.46519	0.0326455
1.40751	0.0355696
1.35207	0.0385119
1.29877	0.0414594
1.24754	0.0443998
1.1983	0.0473216
1.15096	0.0502139
1.10545	0.053067
1.06171	0.0558719
1.01967	0.0586205
